borsdata_ticker,tradingview_symbol,yahoo_ticker
AAK,OMXSTO:AAK,AAK.ST
ABB,OMXSTO:ABB,ABB.ST
ADDT B,OMXSTO:ADDT_B,ADDT-B.ST
ALIG,OMXSTO:ALIG,ALIG.ST
ALIV SDB,OMXSTO:ALIV_SDB,ALIV-SDB.ST
ALLEI,OMXSTO:ALLEI,ALLEI.ST
ANOD B,OMXSTO:ANOD_B,ANOD-B.ST
ARJO B,OMXSTO:ARJO_B,ARJO-B.ST
ASSA B,OMXSTO:ASSA_B,ASSA-B.ST
ATCO A,OMXSTO:ATCO_A,ATCO-A.ST
ATCO B,OMXSTO:ATCO_B,ATCO-B.ST
ATRLJ B,OMXSTO:ATRLJ_B,ATRLJ-B.ST
ATT,OMXSTO:ATT,ATT.ST
AXFO,OMXSTO:AXFO,AXFO.ST
AZA,OMXSTO:AZA,AZA.ST
AZN,OMXSTO:AZN,AZN.ST
BAHN B,OMXSTO:BAHN_B,BAHN-B.ST
BALD B,OMXSTO:BALD_B,BALD-B.ST
BEIA B,OMXSTO:BEIA_B,BEIA-B.ST
BEIJ B,OMXSTO:BEIJ_B,BEIJ-B.ST
BERG B,OMXSTO:BERG_B,BERG-B.ST
BETS B,OMXSTO:BETS_B,BETS-B.ST
BILI A,OMXSTO:BILI_A,BILI-A.ST
BIOG B,OMXSTO:BIOG_B,BIOG-B.ST
BOL,OMXSTO:BOL,BOL.ST
BORG,OMXSTO:BORG,BORG.ST
BRAV,OMXSTO:BRAV,BRAV.ST
BTS B,OMXSTO:BTS_B,BTS-B.ST
CAST,OMXSTO:CAST,CAST.ST
CATE,OMXSTO:CATE,CATE.ST
CIBUS,OMXSTO:CIBUS,CIBUS.ST
CLAS B,OMXSTO:CLAS_B,CLAS-B.ST
CLA B,OMXSTO:CLA_B,CLA-B.ST
COOR,OMXSTO:COOR,COOR.ST
CTT,OMXSTO:CTT,CTT.ST
DIOS,OMXSTO:DIOS,DIOS.ST
DOM,OMXSTO:DOM,DOM.ST
DUNI,OMXSTO:DUNI,DUNI.ST
DYVOX,OMXSTO:DYVOX,DYVOX.ST
EAST,OMXSTO:EAST,EAST.ST
EKTA B,OMXSTO:EKTA_B,EKTA-B.ST
EMBRAC B,OMXSTO:EMBRAC_B,EMBRAC-B.ST
EPI A,OMXSTO:EPI_A,EPI-A.ST
EPI B,OMXSTO:EPI_B,EPI-B.ST
EQL,OMXSTO:EQL,EQL.ST
EQT,OMXSTO:EQT,EQT.ST
ERIC B,OMXSTO:ERIC_B,ERIC-B.ST
ESSITY B,OMXSTO:ESSITY_B,ESSITY-B.ST
EVO,OMXSTO:EVO,EVO.ST
FABG,OMXSTO:FABG,FABG.ST
FOI B,OMXSTO:FOI_B,FOI-B.ST
GENO,OMXSTO:GENO,GENO.ST
GETI B,OMXSTO:GETI_B,GETI-B.ST
HANZA,OMXSTO:HANZA,HANZA.ST
HEXA B,OMXSTO:HEXA_B,HEXA-B.ST
HMS,OMXSTO:HMS,HMS.ST
HOLM A,OMXSTO:HOLM_A,HOLM-A.ST
HPOL B,OMXSTO:HPOL_B,HPOL-B.ST
HTRO,OMXSTO:HTRO,HTRO.ST
HUFV A,OMXSTO:HUFV_A,HUFV-A.ST
INDT,OMXSTO:INDT,INDT.ST
INDU A,OMXSTO:INDU_A,INDU-A.ST
INTRUM,OMXSTO:INTRUM,INTRUM.ST
INVE A,OMXSTO:INVE_A,INVE-A.ST
INWI,OMXSTO:INWI,INWI.ST
KAMBI,OMXSTO:KAMBI,KAMBI.ST
KNOW,OMXSTO:KNOW,KNOW.ST
LAGR B,OMXSTO:LAGR_B,LAGR-B.ST
LIFCO B,OMXSTO:LIFCO_B,LIFCO-B.ST
LIME,OMXSTO:LIME,LIME.ST
LOOMIS,OMXSTO:LOOMIS,LOOMIS.ST
LUMI,OMXSTO:LUMI,LUMI.ST
MCAP,OMXSTO:MCAP,MCAP.ST
MCOV B,OMXSTO:MCOV_B,MCOV-B.ST
MSAB B,OMXSTO:MSAB_B,MSAB-B.ST
MTG B,OMXSTO:MTG_B,MTG-B.ST
MTRS,OMXSTO:MTRS,MTRS.ST
MYCR,OMXSTO:MYCR,MYCR.ST
NDA SE,OMXSTO:NDA_SE,NDA-SE.ST
NEWA B,OMXSTO:NEWA_B,NEWA-B.ST
NIBE B,OMXSTO:NIBE_B,NIBE-B.ST
NMAN,OMXSTO:NMAN,NMAN.ST
NOLA B,OMXSTO:NOLA_B,NOLA-B.ST
NORION,OMXSTO:NORION,NORION.ST
PACT,OMXSTO:PACT,PACT.ST
PEAB B,OMXSTO:PEAB_B,PEAB-B.ST
PLAZ B,OMXSTO:PLAZ_B,PLAZ-B.ST
PNDX B,OMXSTO:PNDX_B,PNDX-B.ST
REJL B,OMXSTO:REJL_B,REJL-B.ST
SAAB B,OMXSTO:SAAB_B,SAAB-B.ST
SAGA A,OMXSTO:SAGA_A,SAGA-A.ST
SAVE,OMXSTO:SAVE,SAVE.ST
SCA B,OMXSTO:SCA_B,SCA-B.ST
SCST,OMXSTO:SCST,SCST.ST
SEB A,OMXSTO:SEB_A,SEB-A.ST
SECARE,OMXSTO:SECARE,SECARE.ST
SECT B,OMXSTO:SECT_B,SECT-B.ST
SECU B,OMXSTO:SECU_B,SECU-B.ST
SFAST,OMXSTO:SFAST,SFAST.ST
SHB A,OMXSTO:SHB_A,SHB-A.ST
SHOT,OMXSTO:SHOT,SHOT.ST
SINT,OMXSTO:SINT,SINT.ST
SOBI,OMXSTO:SOBI,SOBI.ST
SVED B,OMXSTO:SVED_B,SVED-B.ST
SWEC A,OMXSTO:SWEC_A,SWEC-A.ST
SWEC B,OMXSTO:SWEC_B,SWEC-B.ST
SWED A,OMXSTO:SWED_A,SWED-A.ST
SYSR,OMXSTO:SYSR,SYSR.ST
TEL2 B,OMXSTO:TEL2_B,TEL2-B.ST
THULE,OMXSTO:THULE,THULE.ST
TREL B,OMXSTO:TREL_B,TREL-B.ST
VBG B,OMXSTO:VBG_B,VBG-B.ST
VITR,OMXSTO:VITR,VITR.ST
VIT B,OMXSTO:VIT_B,VIT-B.ST
VIVA,OMXSTO:VIVA,VIVA.ST
VOLV A,OMXSTO:VOLV_A,VOLV-A.ST
WALL B,OMXSTO:WALL_B,WALL-B.ST
WIHL,OMXSTO:WIHL,WIHL.ST
ZZ B,OMXSTO:ZZ_B,ZZ-B.ST
