ticker,report_period,report_date,period_end,period_end_to_report_days,original_eps_ttm,aligned_eps_ttm,currency,abs_change_pct,alignment_status,eps_source
AAK.ST,2024-Q1,2024-04-25,2024-03-31,25.0,12.39,12.39,SEK,0.0,yahoo_trailing_diluted,Yahoo Finance / trailingDilutedEPS historical timeseries
AAK.ST,2024-Q2,2024-07-18,2024-06-30,18.0,13.14,13.13,SEK,0.07610350076103338,yahoo_trailing_diluted,Yahoo Finance / trailingDilutedEPS historical timeseries
AAK.ST,2024-Q3,2024-10-24,2024-09-30,24.0,13.39,13.35,SEK,0.2987303958177813,yahoo_trailing_diluted,Yahoo Finance / trailingDilutedEPS historical timeseries
AAK.ST,2024-Q4,2025-02-05,2024-12-31,36.0,13.62,13.57,SEK,0.3671071953010201,yahoo_trailing_diluted,Yahoo Finance / trailingDilutedEPS historical timeseries
AAK.ST,2025-Q1,2025-04-24,2025-03-31,24.0,13.62,13.56,SEK,0.44052863436122414,yahoo_trailing_diluted,Yahoo Finance / trailingDilutedEPS historical timeseries
AAK.ST,2025-Q2,2025-07-17,2025-06-30,17.0,12.98,12.92,SEK,0.4622496147919915,yahoo_trailing_diluted,Yahoo Finance / trailingDilutedEPS historical timeseries
AAK.ST,2025-Q3,2025-10-23,2025-09-30,23.0,13.13,13.080000000000002,SEK,0.38080731150037267,yahoo_reconstructed_diluted_ttm,Yahoo Finance / trailingDilutedEPS reconstructed from quarterlyDilutedEPS
AAK.ST,2025-Q4,2026-02-05,2025-12-31,36.0,13.17,13.16,SEK,0.07593014426727249,yahoo_trailing_diluted,Yahoo Finance / trailingDilutedEPS historical timeseries
AAK.ST,2026-Q1,2026-04-28,2026-03-31,28.0,13.27,13.27,SEK,0.0,yahoo_trailing_diluted,Yahoo Finance / trailingDilutedEPS historical timeseries
AAK.ST,2026-Q2,2026-07-17,2026-06-30,17.0,13.82,13.87,SEK,0.36179450072358127,yahoo_trailing_diluted,Yahoo Finance / trailingDilutedEPS historical timeseries
ABB.ST,2024-Q1,2024-04-18,2024-03-31,18.0,1.98,1.94,USD,2.020202020202022,yahoo_trailing_diluted,Yahoo Finance / trailingDilutedEPS historical timeseries
ABB.ST,2024-Q2,2024-07-18,2024-06-30,18.0,2.07,2.05,USD,0.966183574879228,yahoo_trailing_diluted,Yahoo Finance / trailingDilutedEPS historical timeseries
ABB.ST,2024-Q3,2024-10-17,2024-09-30,17.0,2.1,2.09,USD,0.47619047619048716,yahoo_trailing_diluted,Yahoo Finance / trailingDilutedEPS historical timeseries
ABB.ST,2024-Q4,2025-01-30,2024-12-31,30.0,2.13,2.13,USD,0.0,yahoo_trailing_diluted,Yahoo Finance / trailingDilutedEPS historical timeseries
ABB.ST,2025-Q1,2025-04-17,2025-03-31,17.0,2.25,2.24,USD,0.444444444444435,yahoo_trailing_diluted,Yahoo Finance / trailingDilutedEPS historical timeseries
ABB.ST,2025-Q2,2025-07-17,2025-06-30,17.0,2.29,2.27,USD,0.873362445414848,yahoo_trailing_diluted,Yahoo Finance / trailingDilutedEPS historical timeseries
ABB.ST,2025-Q3,2025-10-16,2025-09-30,16.0,2.44,2.42,USD,0.8196721311475417,yahoo_reconstructed_diluted_ttm,Yahoo Finance / trailingDilutedEPS reconstructed from quarterlyDilutedEPS
ABB.ST,2025-Q4,2026-01-29,2025-12-31,29.0,2.5,2.59,USD,3.5999999999999943,yahoo_trailing_diluted,Yahoo Finance / trailingDilutedEPS historical timeseries
ABB.ST,2026-Q1,2026-04-22,2026-03-31,22.0,2.72,2.72,USD,0.0,yahoo_trailing_diluted,Yahoo Finance / trailingDilutedEPS historical timeseries
ABB.ST,2026-Q2,2026-07-16,2026-06-30,16.0,2.75,2.76,USD,0.3636363636363559,yahoo_trailing_diluted,Yahoo Finance / trailingDilutedEPS historical timeseries
ADDT-B.ST,2024-Q4,2024-05-16,2024-03-31,46.0,6.0494,6.05,SEK,0.009918339008818887,yahoo_trailing_diluted,Yahoo Finance / trailingDilutedEPS historical timeseries
ADDT-B.ST,2025-Q1,2024-07-12,2024-06-30,12.0,6.4268,6.45,SEK,0.3609883612373204,yahoo_trailing_diluted,Yahoo Finance / trailingDilutedEPS historical timeseries
ADDT-B.ST,2025-Q2,2024-10-24,2024-09-30,24.0,6.438,6.45,SEK,0.18639328984157277,yahoo_trailing_diluted,Yahoo Finance / trailingDilutedEPS historical timeseries
ADDT-B.ST,2025-Q3,2025-02-04,2024-12-31,35.0,6.6529,6.65,SEK,0.04359001337761666,yahoo_trailing_diluted,Yahoo Finance / trailingDilutedEPS historical timeseries
ADDT-B.ST,2025-Q4,2025-05-15,2025-03-31,45.0,7.0,7.0,SEK,0.0,yahoo_trailing_diluted,Yahoo Finance / trailingDilutedEPS historical timeseries
ADDT-B.ST,2026-Q1,2025-07-15,2025-06-30,15.0,7.2,7.2,SEK,0.0,yahoo_trailing_diluted,Yahoo Finance / trailingDilutedEPS historical timeseries
ADDT-B.ST,2026-Q2,2025-10-23,2025-09-30,23.0,7.42,7.4,SEK,0.2695417789757355,yahoo_reconstructed_diluted_ttm,Yahoo Finance / trailingDilutedEPS reconstructed from quarterlyDilutedEPS
ADDT-B.ST,2026-Q3,2026-02-05,2025-12-31,36.0,7.65,7.65,SEK,0.0,yahoo_trailing_diluted,Yahoo Finance / trailingDilutedEPS historical timeseries
ADDT-B.ST,2026-Q4,2026-05-20,2026-03-31,50.0,7.95,7.95,SEK,0.0,yahoo_trailing_diluted,Yahoo Finance / trailingDilutedEPS historical timeseries
ADDT-B.ST,2027-Q1,2026-07-14,2026-06-30,14.0,8.23,8.25,SEK,0.24301336573511026,yahoo_trailing_diluted,Yahoo Finance / trailingDilutedEPS historical timeseries
ALIG.ST,2024-Q1,2024-04-25,2024-03-31,25.0,4.9324,4.77,SEK,3.292514800097331,yahoo_trailing_diluted,Yahoo Finance / trailingDilutedEPS historical timeseries
ALIG.ST,2024-Q2,2024-07-18,2024-06-30,18.0,5.0647,4.89,SEK,3.449365214129179,yahoo_trailing_diluted,Yahoo Finance / trailingDilutedEPS historical timeseries
ALIG.ST,2024-Q3,2024-10-29,2024-09-30,29.0,5.197,5.15,SEK,0.9043679045603177,yahoo_trailing_diluted,Yahoo Finance / trailingDilutedEPS historical timeseries
ALIG.ST,2024-Q4,2025-02-13,2024-12-31,44.0,5.89,5.87,SEK,0.3395585738539826,yahoo_trailing_diluted,Yahoo Finance / trailingDilutedEPS historical timeseries
ALIG.ST,2025-Q1,2025-04-24,2025-03-31,24.0,6.39,6.36,SEK,0.4694835680751074,yahoo_trailing_diluted,Yahoo Finance / trailingDilutedEPS historical timeseries
ALIG.ST,2025-Q2,2025-07-18,2025-06-30,18.0,6.78,6.75,SEK,0.4424778761061983,yahoo_trailing_diluted,Yahoo Finance / trailingDilutedEPS historical timeseries
ALIG.ST,2025-Q3,2025-10-23,2025-09-30,23.0,6.57,6.510000000000001,SEK,0.9132420091324142,yahoo_reconstructed_diluted_ttm,Yahoo Finance / trailingDilutedEPS reconstructed from quarterlyDilutedEPS
ALIG.ST,2025-Q4,2026-02-10,2025-12-31,41.0,5.71,5.65,SEK,1.0507880910682945,yahoo_trailing_diluted,Yahoo Finance / trailingDilutedEPS historical timeseries
ALIG.ST,2026-Q1,2026-04-28,2026-03-31,28.0,5.36,5.3,SEK,1.119402985074636,yahoo_trailing_diluted,Yahoo Finance / trailingDilutedEPS historical timeseries
ALIG.ST,2026-Q2,2026-07-17,2026-06-30,17.0,5.2,5.14,SEK,1.1538461538461635,yahoo_trailing_diluted,Yahoo Finance / trailingDilutedEPS historical timeseries
ALIV-SDB.ST,2024-Q1,2024-04-26,2024-03-31,26.0,6.5341,6.38,USD,2.3583967187523864,yahoo_trailing_diluted,Yahoo Finance / trailingDilutedEPS historical timeseries
ALIV-SDB.ST,2024-Q2,2024-07-19,2024-06-30,19.0,7.5626,7.48,USD,1.092216962420323,yahoo_trailing_diluted,Yahoo Finance / trailingDilutedEPS historical timeseries
ALIV-SDB.ST,2024-Q3,2024-10-18,2024-09-30,18.0,7.611,7.66,USD,0.643805019051378,yahoo_trailing_diluted,Yahoo Finance / trailingDilutedEPS historical timeseries
ALIV-SDB.ST,2024-Q4,2025-01-31,2024-12-31,31.0,8.04,8.04,USD,0.0,yahoo_trailing_diluted,Yahoo Finance / trailingDilutedEPS historical timeseries
ALIV-SDB.ST,2025-Q1,2025-04-16,2025-03-31,16.0,8.69,8.66,USD,0.3452243958572999,yahoo_trailing_diluted,Yahoo Finance / trailingDilutedEPS historical timeseries
ALIV-SDB.ST,2025-Q2,2025-07-18,2025-06-30,18.0,9.14,9.12,USD,0.21881838074399723,yahoo_trailing_diluted,Yahoo Finance / trailingDilutedEPS historical timeseries
ALIV-SDB.ST,2025-Q3,2025-10-17,2025-09-30,17.0,9.84,9.67,USD,1.7276422764227635,yahoo_reconstructed_diluted_ttm,Yahoo Finance / trailingDilutedEPS reconstructed from quarterlyDilutedEPS
ALIV-SDB.ST,2025-Q4,2026-01-30,2025-12-31,30.0,9.75,9.55,USD,2.051282051282044,yahoo_trailing_diluted,Yahoo Finance / trailingDilutedEPS historical timeseries
