ticker,overlap_periods,max_abs_diff_pct,periods_at_or_above_1pct,strict_compatible,policy
AAK.ST,10,0.4622496147919915,0,True,every comparable Yahoo period must be <1%; median is ignored
ABB.ST,10,3.5999999999999943,2,False,every comparable Yahoo period must be <1%; median is ignored
ADDT-B.ST,10,0.3609883612373204,0,True,every comparable Yahoo period must be <1%; median is ignored
ALIG.ST,10,3.449365214129179,5,False,every comparable Yahoo period must be <1%; median is ignored
ALIV-SDB.ST,10,2.3583967187523864,4,False,every comparable Yahoo period must be <1%; median is ignored
ALLEI.ST,10,0.4073319755600909,0,True,every comparable Yahoo period must be <1%; median is ignored
ANOD-B.ST,9,1.42857142857143,2,False,every comparable Yahoo period must be <1%; median is ignored
ARJO-B.ST,9,0.7092198581560291,0,True,every comparable Yahoo period must be <1%; median is ignored
ASSA-B.ST,9,0.0764525993883775,0,True,every comparable Yahoo period must be <1%; median is ignored
ATCO-A.ST,10,0.3466204506065784,0,True,every comparable Yahoo period must be <1%; median is ignored
ATCO-B.ST,10,0.3466204506065784,0,True,every comparable Yahoo period must be <1%; median is ignored
ATRLJ-B.ST,10,275.6130182790905,10,False,every comparable Yahoo period must be <1%; median is ignored
ATT.ST,10,1.2750455373406244,2,False,every comparable Yahoo period must be <1%; median is ignored
AXFO.ST,10,0.5415162454873691,0,True,every comparable Yahoo period must be <1%; median is ignored
AZA.ST,10,0.3119575335228551,0,True,every comparable Yahoo period must be <1%; median is ignored
AZN.ST,9,0.961744982459474,0,True,every comparable Yahoo period must be <1%; median is ignored
BAHN-B.ST,9,22.619047619047628,3,False,every comparable Yahoo period must be <1%; median is ignored
BALD-B.ST,10,257.312616471841,10,False,every comparable Yahoo period must be <1%; median is ignored
BEIA-B.ST,10,0.1759126539753761,0,True,every comparable Yahoo period must be <1%; median is ignored
BERG-B.ST,10,137.61969904240766,4,False,every comparable Yahoo period must be <1%; median is ignored
BETS-B.ST,10,2.0979020979021,4,False,every comparable Yahoo period must be <1%; median is ignored
BILI-A.ST,10,1.0893246187363796,1,False,every comparable Yahoo period must be <1%; median is ignored
BIOG-B.ST,10,0.2710027100270945,0,True,every comparable Yahoo period must be <1%; median is ignored
BOL.ST,10,0.3754266211604076,0,True,every comparable Yahoo period must be <1%; median is ignored
BORG.ST,9,16.714697406340058,7,False,every comparable Yahoo period must be <1%; median is ignored
BRAV.ST,10,0.3521126760563305,0,True,every comparable Yahoo period must be <1%; median is ignored
BTS-B.ST,9,0.2392344497607604,0,True,every comparable Yahoo period must be <1%; median is ignored
CAST.ST,10,317.897603915841,10,False,every comparable Yahoo period must be <1%; median is ignored
CATE.ST,10,75.92361316106178,10,False,every comparable Yahoo period must be <1%; median is ignored
CIBUS.ST,10,233.48907058234607,10,False,every comparable Yahoo period must be <1%; median is ignored
CLA-B.ST,10,1.0169491525423662,1,False,every comparable Yahoo period must be <1%; median is ignored
CLAS-B.ST,10,0.8069522036002421,0,True,every comparable Yahoo period must be <1%; median is ignored
COOR.ST,10,5.833333333333339,6,False,every comparable Yahoo period must be <1%; median is ignored
CTT.ST,10,0.1093218361155197,0,True,every comparable Yahoo period must be <1%; median is ignored
DIOS.ST,9,143.7636761487965,9,False,every comparable Yahoo period must be <1%; median is ignored
DOM.ST,10,1.0309278350515474,1,False,every comparable Yahoo period must be <1%; median is ignored
DUNI.ST,10,0.4273504273504372,0,True,every comparable Yahoo period must be <1%; median is ignored
DYVOX.ST,10,1.9736842105263173,4,False,every comparable Yahoo period must be <1%; median is ignored
EAST.ST,10,475.5299818291944,10,False,every comparable Yahoo period must be <1%; median is ignored
EKTA-B.ST,9,0.3816793893129689,0,True,every comparable Yahoo period must be <1%; median is ignored
EMBRAC-B.ST,8,118.5616076150185,8,False,every comparable Yahoo period must be <1%; median is ignored
EPI-A.ST,10,0.1422475106685602,0,True,every comparable Yahoo period must be <1%; median is ignored
EPI-B.ST,10,0.1422475106685602,0,True,every comparable Yahoo period must be <1%; median is ignored
EQL.ST,9,187.5,8,False,every comparable Yahoo period must be <1%; median is ignored
EQT.ST,5,20.879120879120883,1,False,every comparable Yahoo period must be <1%; median is ignored
ERIC-B.ST,10,0.1353179972936491,0,True,every comparable Yahoo period must be <1%; median is ignored
ESSITY-B.ST,10,96.97199091597273,5,False,every comparable Yahoo period must be <1%; median is ignored
EVO.ST,9,2.127659574468072,5,False,every comparable Yahoo period must be <1%; median is ignored
FABG.ST,10,506.1249827562422,10,False,every comparable Yahoo period must be <1%; median is ignored
