ticker,report_period,report_date,gap_position,previous_comparable_period,previous_comparable_date,next_comparable_period,next_comparable_date,days_from_previous,days_to_next,stale_window_days,reference_eps_ttm,currency,recommended_action
ALIG.ST,2018-Q3,2018-10-25,leading,,,2023-Q3,2023-10-24,,1825,,4.0016,SEK,optional_backfill_requires_verified_source
ALIG.ST,2018-Q4,2019-02-22,leading,,,2023-Q3,2023-10-24,,1705,,4.7395,SEK,optional_backfill_requires_verified_source
ALIG.ST,2019-Q1,2019-04-26,leading,,,2023-Q3,2023-10-24,,1642,,5.3756,SEK,optional_backfill_requires_verified_source
ALIG.ST,2019-Q2,2019-08-21,leading,,,2023-Q3,2023-10-24,,1525,,5.7799,SEK,optional_backfill_requires_verified_source
ALIG.ST,2019-Q3,2019-10-23,leading,,,2023-Q3,2023-10-24,,1462,,6.2184,SEK,optional_backfill_requires_verified_source
ALIG.ST,2019-Q4,2020-02-21,leading,,,2023-Q3,2023-10-24,,1341,,5.4509,SEK,optional_backfill_requires_verified_source
ALIG.ST,2020-Q1,2020-04-24,leading,,,2023-Q3,2023-10-24,,1278,,4.6644,SEK,optional_backfill_requires_verified_source
ALIG.ST,2020-Q2,2020-07-23,leading,,,2023-Q3,2023-10-24,,1188,,3.8714,SEK,optional_backfill_requires_verified_source
ALIG.ST,2020-Q3,2020-10-22,leading,,,2023-Q3,2023-10-24,,1097,,3.0592,SEK,optional_backfill_requires_verified_source
ALIG.ST,2020-Q4,2021-02-11,leading,,,2023-Q3,2023-10-24,,985,,2.5325,SEK,optional_backfill_requires_verified_source
ALIG.ST,2021-Q1,2021-04-22,leading,,,2023-Q3,2023-10-24,,915,,2.8249,SEK,optional_backfill_requires_verified_source
ALIG.ST,2021-Q2,2021-07-20,leading,,,2023-Q3,2023-10-24,,826,,3.2089,SEK,optional_backfill_requires_verified_source
ALIG.ST,2021-Q3,2021-10-21,leading,,,2023-Q3,2023-10-24,,733,,3.6746,SEK,optional_backfill_requires_verified_source
ALIG.ST,2021-Q4,2022-02-10,leading,,,2023-Q3,2023-10-24,,621,,4.2657,SEK,optional_backfill_requires_verified_source
ALIG.ST,2022-Q1,2022-04-27,leading,,,2023-Q3,2023-10-24,,545,,4.3722,SEK,optional_backfill_requires_verified_source
ALIG.ST,2022-Q2,2022-07-19,leading,,,2023-Q3,2023-10-24,,462,,4.6492,SEK,optional_backfill_requires_verified_source
ALIG.ST,2022-Q3,2022-10-20,leading,,,2023-Q3,2023-10-24,,369,,4.6869,SEK,optional_backfill_requires_verified_source
ALIG.ST,2022-Q4,2023-02-17,leading,,,2023-Q3,2023-10-24,,249,,5.2196,SEK,optional_backfill_requires_verified_source
ALIG.ST,2023-Q1,2023-05-03,leading,,,2023-Q3,2023-10-24,,174,,5.4016,SEK,optional_backfill_requires_verified_source
ALIG.ST,2023-Q2,2023-07-20,leading,,,2023-Q3,2023-10-24,,96,,5.2562,SEK,optional_backfill_requires_verified_source
ARJO-B.ST,2018-Q3,2018-10-22,leading,,,2023-Q3,2023-10-19,,1823,,0.4703,SEK,optional_backfill_requires_verified_source
