source_ticker,yahoo_ticker,date_source_ticker,periods,yahoo_dates_found,dates_mapped,cached_dates_reused,new_dates_filled,status,latest_yahoo_date,error
AAK,AAK.ST,AAK.ST,29,50,29,17,0,complete,2026-07-17,
ABB,ABB.ST,ABB.ST,10,25,10,10,0,complete,2026-07-16,
ADDT B,ADDT-B.ST,ADDT-B.ST,32,13,32,20,0,complete,2026-07-14,
ALIG,ALIG.ST,ALIG.ST,32,45,32,20,0,complete,2026-07-17,
ALIV SDB,ALIV-SDB.ST,ALIV-SDB.ST,10,25,10,10,0,complete,2026-07-17,
ALLEI,ALLEI.ST,ALLEI.ST,16,13,16,5,0,complete,2026-07-17,
ANOD B,ANOD-B.ST,ANOD-B.ST,32,13,32,21,0,complete,2026-07-15,
ARJO B,ARJO-B.ST,ARJO-B.ST,32,35,32,22,0,complete,2026-07-14,
ASSA B,ASSA-B.ST,ASSA-B.ST,32,50,32,21,0,complete,2026-07-17,
ATCO A,ATCO-A.ST,ATCO-A.ST,32,50,32,21,0,complete,2026-07-16,
ATCO B,ATCO-B.ST,ATCO-A.ST,32,50,32,22,0,complete,2026-07-16,Rapportdatum hämtade via systeraktien ATCO-A.ST
ATRLJ B,ATRLJ-B.ST,ATRLJ-B.ST,32,1,32,20,0,complete,2026-07-03,
ATT,ATT.ST,ATT.ST,32,9,32,21,0,complete,2026-08-20,
AXFO,AXFO.ST,AXFO.ST,32,50,32,21,0,complete,2026-07-15,
AZA,AZA.ST,AZA.ST,32,50,32,20,0,complete,2026-07-14,
AZN,AZN.ST,AZN.ST,10,9,10,10,0,complete,2026-07-27,
BAHN B,BAHN-B.ST,BAHN-B.ST,32,4,32,22,0,complete,2026-02-17,
BALD B,BALD-B.ST,BALD-B.ST,32,2,32,21,0,complete,2026-07-14,
BEIA B,BEIA-B.ST,BEIA-B.ST,32,50,32,20,0,complete,2026-07-17,
BEIJ B,BEIJ-B.ST,BEIJ-B.ST,32,50,32,20,0,complete,2026-07-17,
BERG B,BERG-B.ST,BERG-B.ST,32,50,32,20,0,complete,2026-07-16,
BETS B,BETS-B.ST,BETS-B.ST,10,25,10,10,0,complete,2026-07-17,
BILI A,BILI-A.ST,BILI-A.ST,32,13,32,20,0,complete,2026-07-17,
BIOG B,BIOG-B.ST,BIOG-B.ST,32,5,32,22,0,complete,2026-07-17,
BOL,BOL.ST,BOL.ST,32,50,32,20,0,complete,2026-07-21,
