ticker,report_period,report_date,eps_ttm,currency
ADDT-B.ST,2018-Q3,,2.1278,SEK
ADDT-B.ST,2018-Q4,,2.2826,SEK
ADDT-B.ST,2019-Q1,,2.4476,SEK
ADDT-B.ST,2019-Q2,,2.6892,SEK
ADDT-B.ST,2019-Q3,,2.9267,SEK
ADDT-B.ST,2019-Q4,,2.8719,SEK
ADDT-B.ST,2020-Q1,,3.1969,SEK
ADDT-B.ST,2020-Q2,,3.025,SEK
ADDT-B.ST,2020-Q3,,2.8042,SEK
ADDT-B.ST,2020-Q4,,2.9159,SEK
ADDT-B.ST,2021-Q1,,2.6206,SEK
ADDT-B.ST,2021-Q2,,2.8605,SEK
ADDT-B.ST,2021-Q3,,3.1456,SEK
ADDT-B.ST,2021-Q4,,3.5049,SEK
ADDT-B.ST,2022-Q1,,3.9752,SEK
ADDT-B.ST,2022-Q2,,4.2933,SEK
ADDT-B.ST,2022-Q3,,4.6523,SEK
ADDT-B.ST,2022-Q4,,5.0565,SEK
ADDT-B.ST,2023-Q1,,5.5462,SEK
ADDT-B.ST,2023-Q2,,5.7279,SEK
ALLEI.ST,2022-Q3,,5.9272,SEK
ALLEI.ST,2022-Q4,,5.8634,SEK
ALLEI.ST,2023-Q1,,6.9476,SEK
ANOD-B.ST,2018-Q3,,1.1169,SEK
ANOD-B.ST,2018-Q4,,1.1755,SEK
ANOD-B.ST,2019-Q1,,1.3867,SEK
ANOD-B.ST,2019-Q2,,2.1465,SEK
ANOD-B.ST,2019-Q3,,2.8644,SEK
ANOD-B.ST,2019-Q4,,2.7373,SEK
ANOD-B.ST,2020-Q1,,2.7149,SEK
ANOD-B.ST,2020-Q2,,1.8323,SEK
ANOD-B.ST,2020-Q3,,1.1817,SEK
ANOD-B.ST,2020-Q4,,1.2191,SEK
ANOD-B.ST,2021-Q1,,1.1966,SEK
ANOD-B.ST,2021-Q2,,1.3893,SEK
ANOD-B.ST,2021-Q3,,1.4768,SEK
ANOD-B.ST,2021-Q4,,1.6637,SEK
ANOD-B.ST,2022-Q1,,2.0525,SEK
ANOD-B.ST,2022-Q2,,2.2785,SEK
ANOD-B.ST,2022-Q3,,2.6852,SEK
ANOD-B.ST,2022-Q4,,2.8585,SEK
ANOD-B.ST,2023-Q1,,2.844,SEK
ATRLJ-B.ST,2018-Q3,,3.846,SEK
ATRLJ-B.ST,2018-Q4,,3.846,SEK
ATRLJ-B.ST,2019-Q1,,3.846,SEK
ATRLJ-B.ST,2019-Q2,,3.846,SEK
ATRLJ-B.ST,2019-Q3,,3.846,SEK
ATRLJ-B.ST,2019-Q4,,3.846,SEK
ATRLJ-B.ST,2020-Q1,,3.846,SEK
ATRLJ-B.ST,2020-Q2,,3.846,SEK
ATRLJ-B.ST,2020-Q3,,3.846,SEK
ATRLJ-B.ST,2020-Q4,,1.3515,SEK
ATRLJ-B.ST,2021-Q1,,3.9656,SEK
ATRLJ-B.ST,2021-Q2,,4.8945,SEK
ATRLJ-B.ST,2021-Q3,,4.7374,SEK
ATRLJ-B.ST,2021-Q4,,5.9337,SEK
ATRLJ-B.ST,2022-Q1,,8.0277,SEK
ATRLJ-B.ST,2022-Q2,,10.9846,SEK
ATRLJ-B.ST,2022-Q3,,10.6774,SEK
ATRLJ-B.ST,2022-Q4,,6.7918,SEK
ATRLJ-B.ST,2023-Q1,,3.3675,SEK
ATRLJ-B.ST,2023-Q2,,-1.6225,SEK
ATT.ST,2018-Q3,,3.3844,SEK
ATT.ST,2018-Q4,,2.8169,SEK
ATT.ST,2019-Q1,,2.4271,SEK
ATT.ST,2019-Q2,,1.743,SEK
ATT.ST,2019-Q3,,1.0257,SEK
ATT.ST,2019-Q4,,0.5033,SEK
ATT.ST,2020-Q1,,0.1118,SEK
ATT.ST,2020-Q2,,-5.7116,SEK
ATT.ST,2020-Q3,,-5.8981,SEK
ATT.ST,2020-Q4,,-5.6308,SEK
ATT.ST,2021-Q1,,-5.7116,SEK
ATT.ST,2021-Q2,,0.2361,SEK
ATT.ST,2021-Q3,,0.4225,SEK
ATT.ST,2021-Q4,,0.348,SEK
ATT.ST,2022-Q1,,0.205,SEK
ATT.ST,2022-Q2,,-0.0684,SEK
ATT.ST,2022-Q3,,-0.0622,SEK
ATT.ST,2022-Q4,,-0.2797,SEK
ATT.ST,2023-Q1,,0.0994,SEK
ATT.ST,2023-Q2,,0.8637,SEK
ATT.ST,2023-Q3,,1.7023,SEK
BAHN-B.ST,2018-Q3,,0.8589,SEK
BAHN-B.ST,2018-Q4,,0.908,SEK
BAHN-B.ST,2019-Q1,,0.9924,SEK
BAHN-B.ST,2019-Q2,,1.0,SEK
BAHN-B.ST,2019-Q3,,0.995,SEK
BAHN-B.ST,2019-Q4,,1.016,SEK
BAHN-B.ST,2020-Q1,,1.0857,SEK
BAHN-B.ST,2020-Q2,,1.1722,SEK
BAHN-B.ST,2020-Q3,,1.1981,SEK
BAHN-B.ST,2020-Q4,,1.2653,SEK
BAHN-B.ST,2021-Q1,,1.2859,SEK
BAHN-B.ST,2021-Q2,,1.3139,SEK
BAHN-B.ST,2021-Q3,,1.3611,SEK
BAHN-B.ST,2021-Q4,,1.3607,SEK
BAHN-B.ST,2022-Q1,,1.4304,SEK
BAHN-B.ST,2022-Q2,,1.5147,SEK
BAHN-B.ST,2022-Q3,,1.5147,SEK
BAHN-B.ST,2022-Q4,,1.5147,SEK
BAHN-B.ST,2023-Q1,,1.5147,SEK
BAHN-B.ST,2023-Q2,,1.5147,SEK
BAHN-B.ST,2023-Q3,,1.8568,SEK
BALD-B.ST,2018-Q3,,8.7189,SEK
BALD-B.ST,2018-Q4,,8.6185,SEK
BALD-B.ST,2019-Q1,,7.8528,SEK
BALD-B.ST,2019-Q2,,7.463,SEK
BALD-B.ST,2019-Q3,,6.0296,SEK
BALD-B.ST,2019-Q4,,8.2945,SEK
BALD-B.ST,2020-Q1,,8.1787,SEK
BALD-B.ST,2020-Q2,,7.6028,SEK
BALD-B.ST,2020-Q3,,6.9889,SEK
BALD-B.ST,2020-Q4,,6.1114,SEK
BALD-B.ST,2021-Q1,,7.5087,SEK
BALD-B.ST,2021-Q2,,8.7355,SEK
BALD-B.ST,2021-Q3,,13.2136,SEK
BALD-B.ST,2021-Q4,,16.5407,SEK
BALD-B.ST,2022-Q1,,18.8606,SEK
BALD-B.ST,2022-Q2,,19.9714,SEK
BALD-B.ST,2022-Q3,,14.9401,SEK
BALD-B.ST,2022-Q4,,14.9401,SEK
BALD-B.ST,2023-Q1,,14.9401,SEK
BALD-B.ST,2023-Q2,,14.9401,SEK
BALD-B.ST,2023-Q3,,14.9401,SEK
BILI-A.ST,2018-Q3,,6.9724,SEK
BILI-A.ST,2018-Q4,,7.27,SEK
BILI-A.ST,2019-Q1,,7.3439,SEK
BILI-A.ST,2019-Q2,,7.2138,SEK
BILI-A.ST,2019-Q3,,7.5108,SEK
BILI-A.ST,2019-Q4,,7.9954,SEK
BILI-A.ST,2020-Q1,,8.1376,SEK
BILI-A.ST,2020-Q2,,8.2538,SEK
BILI-A.ST,2020-Q3,,9.1969,SEK
BILI-A.ST,2020-Q4,,9.8226,SEK
BILI-A.ST,2021-Q1,,11.9831,SEK
BILI-A.ST,2021-Q2,,13.9935,SEK
BILI-A.ST,2021-Q3,,14.5176,SEK
BILI-A.ST,2021-Q4,,14.8872,SEK
BILI-A.ST,2022-Q1,,17.2944,SEK
BILI-A.ST,2022-Q2,,17.295,SEK
BILI-A.ST,2022-Q3,,17.0621,SEK
BILI-A.ST,2022-Q4,,17.3521,SEK
BILI-A.ST,2023-Q1,,13.8441,SEK
BIOG-B.ST,2018-Q3,,2.3735,SEK
BIOG-B.ST,2018-Q4,,2.4736,SEK
BIOG-B.ST,2019-Q1,,2.3875,SEK
BIOG-B.ST,2019-Q2,,2.3679,SEK
BIOG-B.ST,2019-Q3,,2.2132,SEK
BIOG-B.ST,2019-Q4,,2.1425,SEK
BIOG-B.ST,2020-Q1,,2.2123,SEK
BIOG-B.ST,2020-Q2,,2.4196,SEK
BIOG-B.ST,2020-Q3,,2.2171,SEK
BIOG-B.ST,2020-Q4,,2.0346,SEK
BIOG-B.ST,2021-Q1,,2.0525,SEK
BIOG-B.ST,2021-Q2,,1.6826,SEK
BIOG-B.ST,2021-Q3,,1.9696,SEK
BIOG-B.ST,2021-Q4,,1.9436,SEK
BIOG-B.ST,2022-Q1,,2.1997,SEK
BIOG-B.ST,2022-Q2,,2.4357,SEK
BIOG-B.ST,2022-Q3,,2.6997,SEK
BIOG-B.ST,2022-Q4,,3.6995,SEK
BIOG-B.ST,2023-Q1,,4.0921,SEK
BIOG-B.ST,2023-Q2,,4.1119,SEK
BIOG-B.ST,2023-Q3,,4.3298,SEK
BIOG-B.ST,2023-Q4,,3.618,SEK
BORG.ST,2018-Q3,,2.2418,SEK
BORG.ST,2018-Q4,,2.3928,SEK
BORG.ST,2019-Q1,,2.464,SEK
BORG.ST,2019-Q2,,2.3141,SEK
BORG.ST,2019-Q3,,2.2362,SEK
BORG.ST,2019-Q4,,1.5487,SEK
BORG.ST,2020-Q1,,1.3003,SEK
BORG.ST,2020-Q2,,0.6419,SEK
BORG.ST,2020-Q3,,0.5924,SEK
BORG.ST,2020-Q4,,0.7488,SEK
BORG.ST,2021-Q1,,1.1735,SEK
BORG.ST,2021-Q2,,2.4604,SEK
BORG.ST,2021-Q3,,3.0306,SEK
BORG.ST,2021-Q4,,3.421,SEK
BORG.ST,2022-Q1,,3.4933,SEK
