ticker,report_period,period_end,historical_report_date,yahoo_report_date,report_date_delta_days,report_date_status,historical_eps_ttm,historical_currency,yahoo_eps_ttm,yahoo_eps_currency,error_pct,value_status,historical_alignment_status,yahoo_observed_date
AAK.ST,2026-Q2,2026-06-30,2026-07-17,2026-07-16,1.0,near,13.87,SEK,13.87,SEK,0.0,match,yahoo_trailing_diluted,2026-08-15
ABB.ST,2026-Q2,2026-06-30,2026-07-16,2026-07-15,1.0,near,2.76,USD,2.76,USD,0.0,match,yahoo_trailing_diluted,2026-08-15
ADDT-B.ST,2027-Q1,2026-06-30,2026-07-14,2026-07-14,0.0,match,8.25,SEK,8.25,SEK,0.0,match,yahoo_trailing_diluted,2026-08-15
ALIG.ST,2026-Q2,2026-06-30,2026-07-17,2026-07-16,1.0,near,5.14,SEK,5.14,SEK,0.0,match,yahoo_trailing_diluted,2026-08-15
ALIV-SDB.ST,2026-Q2,2026-06-30,2026-07-17,2026-07-17,0.0,match,8.48,USD,8.48,USD,0.0,match,yahoo_trailing_diluted,2026-08-15
ALLEI.ST,2026-Q2,2026-06-30,2026-07-17,2026-07-17,0.0,match,3.65,SEK,3.65,SEK,0.0,match,yahoo_trailing_diluted,2026-08-15
ANOD-B.ST,2026-Q2,2026-06-30,2026-07-15,2026-07-14,1.0,near,2.4,SEK,2.4,SEK,0.0,match,yahoo_trailing_diluted,2026-08-15
ARJO-B.ST,2026-Q2,2026-06-30,2026-07-14,2026-07-13,1.0,near,1.42,SEK,1.42,SEK,0.0,match,yahoo_trailing_diluted,2026-08-15
ASSA-B.ST,2026-Q2,2026-06-30,2026-07-17,2026-07-17,0.0,match,14.75,SEK,14.75,SEK,0.0,match,yahoo_trailing_diluted,2026-08-15
ATCO-A.ST,2026-Q2,2026-06-30,2026-07-16,2026-07-16,0.0,match,5.46,SEK,5.46,SEK,0.0,match,yahoo_trailing_diluted,2026-08-15
ATCO-B.ST,2026-Q2,2026-06-30,2026-07-16,,,missing_yahoo,5.46,SEK,5.46,SEK,0.0,match,yahoo_trailing_diluted,2026-08-15
ATRLJ-B.ST,2026-Q2,2026-06-30,2026-07-03,2026-07-02,1.0,near,0.91,SEK,0.91,SEK,0.0,match,yahoo_trailing_diluted,2026-08-15
ATT.ST,,2026-06-30,,2026-08-19,,no_same_period_history,,,6.61,SEK,,no_same_period_history,,2026-08-23
AXFO.ST,2026-Q2,2026-06-30,2026-07-15,2026-07-15,0.0,match,11.22,SEK,11.22,SEK,0.0,match,yahoo_trailing_diluted,2026-08-15
AZA.ST,2026-Q2,2026-06-30,2026-07-14,2026-07-13,1.0,near,17.91,SEK,17.91,SEK,0.0,match,yahoo_trailing_diluted,2026-08-15
AZN.ST,2026-Q2,2026-06-30,2026-07-27,2026-07-27,0.0,match,6.68,USD,6.68,USD,0.0,match,yahoo_trailing_diluted,2026-08-15
BAHN-B.ST,,2026-03-31,,2026-02-17,,no_same_period_history,,,1.74,SEK,,no_same_period_history,,2026-08-15
BALD-B.ST,2026-Q2,2026-06-30,2026-07-14,2026-07-14,0.0,match,5.18,SEK,5.18,SEK,0.0,match,yahoo_trailing_diluted,2026-08-15
BEIA-B.ST,2026-Q2,2026-06-30,2026-07-17,2026-07-16,1.0,near,12.456137,SEK,12.456137,SEK,0.0,match,yahoo_trailing_diluted,2026-08-15
BEIJ-B.ST,2026-Q2,2026-06-30,2026-07-17,2026-07-16,1.0,near,4.67,SEK,4.67,SEK,0.0,match,yahoo_trailing_diluted,2026-08-15
BERG-B.ST,2027-Q1,2026-06-30,2026-07-16,2026-07-15,1.0,near,8.55,SEK,8.55,SEK,0.0,match,yahoo_trailing_diluted,2026-08-15
BETS-B.ST,2026-Q2,2026-06-30,2026-07-17,2026-07-16,1.0,near,0.96,EUR,0.96,EUR,0.0,match,yahoo_trailing_diluted,2026-08-15
BILI-A.ST,2026-Q2,2026-06-30,2026-07-17,2026-07-17,0.0,match,9.08,SEK,9.08,SEK,0.0,match,yahoo_trailing_diluted,2026-08-15
