ticker,trailing_periods,quarterly_diluted_periods,reported_eps_periods,manual_eps_periods,covered_trailing_periods,missing_trailing_periods,coverage_pct,missing_period_ends
AAK.ST,11,6,11,0,11,0,100.0,
ABB.ST,11,6,11,0,11,0,100.0,
ADDT-B.ST,11,6,11,0,11,0,100.0,
ALIG.ST,11,6,11,0,11,0,100.0,
ALIV-SDB.ST,11,6,11,0,11,0,100.0,
ALLEI.ST,10,6,10,0,10,0,100.0,
ANOD-B.ST,10,6,10,0,10,0,100.0,
ARJO-B.ST,9,6,9,0,9,0,100.0,
ASSA-B.ST,11,2,11,0,11,0,100.0,
ATCO-A.ST,10,6,10,0,10,0,100.0,
ATCO-B.ST,11,6,0,0,6,5,54.55,2023-09-30;2023-12-31;2024-03-31;2024-06-30;2024-09-30
ATRLJ-B.ST,11,6,10,0,11,0,100.0,
ATT.ST,11,5,8,0,8,3,72.73,2023-09-30;2023-12-31;2024-03-31
AXFO.ST,10,6,10,0,10,0,100.0,
AZA.ST,10,5,10,0,10,0,100.0,
AZN.ST,9,6,8,0,8,1,88.89,2024-03-31
BAHN-B.ST,11,6,4,0,6,5,54.55,2023-09-30;2023-12-31;2024-03-31;2024-06-30;2024-09-30
BALD-B.ST,11,6,7,0,9,2,81.82,2023-09-30;2024-03-31
BEIA-B.ST,11,6,11,0,11,0,100.0,
BEIJ-B.ST,11,6,11,0,11,0,100.0,
BERG-B.ST,11,6,11,0,11,0,100.0,
BETS-B.ST,11,6,11,0,11,0,100.0,
BILI-A.ST,11,6,11,0,11,0,100.0,
BIOG-B.ST,11,6,4,0,6,5,54.55,2023-09-30;2023-12-31;2024-03-31;2024-06-30;2024-09-30
BOL.ST,11,6,11,0,11,0,100.0,
BORG.ST,11,6,8,0,8,3,72.73,2023-09-30;2023-12-31;2024-03-31
BRAV.ST,11,6,11,0,11,0,100.0,
BTS-B.ST,11,6,11,0,11,0,100.0,
CAST.ST,11,6,11,0,11,0,100.0,
CATE.ST,10,6,8,0,10,0,100.0,
CIBUS.ST,10,6,3,0,6,4,60.0,2023-09-30;2024-03-31;2024-06-30;2024-09-30
CLA-B.ST,11,6,11,0,11,0,100.0,
CLAS-B.ST,11,6,7,0,8,3,72.73,2023-10-31;2024-01-31;2024-04-30
COOR.ST,11,6,11,0,11,0,100.0,
CTT.ST,10,6,0,0,6,4,60.0,2023-09-30;2024-03-31;2024-06-30;2024-09-30
DIOS.ST,10,6,0,0,5,5,50.0,2023-09-30;2023-12-31;2024-03-31;2024-06-30;2024-09-30
DOM.ST,11,6,11,0,11,0,100.0,
DUNI.ST,12,6,0,0,6,6,50.0,2022-09-30;2023-09-30;2023-12-31;2024-03-31;2024-06-30;2024-09-30
DYVOX.ST,10,6,9,0,10,0,100.0,
EAST.ST,11,6,2,0,6,5,54.55,2023-09-30;2023-12-31;2024-03-31;2024-06-30;2024-09-30
EKTA-B.ST,11,6,11,0,11,0,100.0,
EMBRAC-B.ST,10,6,9,0,9,1,90.0,2024-06-30
EPI-A.ST,10,6,10,0,10,0,100.0,
EPI-B.ST,11,6,0,0,6,5,54.55,2023-09-30;2023-12-31;2024-03-31;2024-06-30;2024-09-30
EQL.ST,9,6,8,0,9,0,100.0,
EQT.ST,5,0,0,0,0,5,0.0,2023-06-30;2023-12-31;2024-12-31;2025-06-30;2025-12-31
ERIC-B.ST,11,6,11,0,11,0,100.0,
ESSITY-B.ST,11,6,11,0,11,0,100.0,
EVO.ST,9,6,9,0,9,0,100.0,
FABG.ST,10,6,10,0,10,0,100.0,
FOI-B.ST,11,6,0,0,6,5,54.55,2023-09-30;2023-12-31;2024-03-31;2024-06-30;2024-09-30
GENO.ST,12,7,10,0,11,1,91.67,2023-12-31
GETI-B.ST,11,6,11,0,11,0,100.0,
HANZA.ST,11,6,11,0,11,0,100.0,
HEXA-B.ST,10,6,10,0,10,0,100.0,
HMS.ST,10,6,10,0,10,0,100.0,
HOLM-A.ST,11,5,0,0,5,6,45.45,2023-09-30;2023-12-31;2024-03-31;2024-06-30;2024-09-30;2026-06-30
HPOL-B.ST,10,6,10,0,10,0,100.0,
HTRO.ST,11,6,11,0,11,0,100.0,
HUFV-A.ST,10,5,10,0,10,0,100.0,
INDT.ST,11,6,11,0,11,0,100.0,
INDU-A.ST,12,6,0,0,6,6,50.0,2022-12-31;2023-09-30;2023-12-31;2024-03-31;2024-06-30;2024-09-30
INTRUM.ST,8,6,8,0,8,0,100.0,
INVE-A.ST,9,5,0,0,4,5,44.44,2023-09-30;2023-12-31;2024-03-31;2024-06-30;2024-09-30
INWI.ST,11,6,9,0,9,2,81.82,2023-12-31;2024-06-30
KAMBI.ST,10,6,10,0,10,0,100.0,
KNOW.ST,11,6,11,0,11,0,100.0,
LAGR-B.ST,11,6,11,0,11,0,100.0,
LIFCO-B.ST,10,6,8,0,8,2,80.0,2024-03-31;2024-09-30
LIME.ST,9,6,9,0,9,0,100.0,
LOOMIS.ST,10,6,10,0,10,0,100.0,
LUMI.ST,10,5,10,0,10,0,100.0,
MCAP.ST,10,6,2,0,6,4,60.0,2023-09-30;2024-03-31;2024-06-30;2024-09-30
MCOV-B.ST,11,6,6,0,6,5,54.55,2023-09-30;2023-12-31;2024-03-31;2024-06-30;2024-09-30
MSAB-B.ST,11,6,9,0,10,1,90.91,2024-09-30
MTG-B.ST,12,7,12,0,12,0,100.0,
MTRS.ST,11,6,11,0,11,0,100.0,
MYCR.ST,12,6,6,0,7,5,58.33,2022-12-31;2023-09-30;2023-12-31;2024-06-30;2024-09-30
NDA-SE.ST,11,6,11,0,11,0,100.0,
NEWA-B.ST,9,5,9,0,9,0,100.0,
NIBE-B.ST,12,6,12,0,12,0,100.0,
NMAN.ST,11,6,1,0,6,5,54.55,2023-09-30;2023-12-31;2024-03-31;2024-06-30;2024-09-30
NOLA-B.ST,11,6,10,0,11,0,100.0,
NORION.ST,10,6,9,0,10,0,100.0,
