ticker,tradingview_symbol,source_file,raw_rows,eps_rows_from_2018_q3,output_rows,first_period,last_period,current_quarter_action,missing_report_dates,max_identical_eps_quarters,warning
AAK,OMXSTO:AAK,"OMXSTO_DLY_AAK, 3M.csv",84,30,29,2019-Q2,2026-Q2,dropped_unchanged,17,1,
ABB,OMXSTO:ABB,"OMXSTO_DLY_ABB, 3M.csv",102,33,32,2018-Q3,2026-Q2,dropped_unchanged,0,1,
ADDT B,OMXSTO:ADDT_B,"OMXSTO_DLY_ADDT_B, 3M.csv",101,33,32,2018-Q3,2026-Q2,dropped_unchanged,20,1,
ALIG,OMXSTO:ALIG,"OMXSTO_DLY_ALIG, 3M.csv",46,33,32,2018-Q3,2026-Q2,dropped_unchanged,20,1,
ALIV SDB,OMXSTO:ALIV_SDB,"OMXSTO_DLY_ALIV_SDB, 3M.csv",107,33,32,2018-Q3,2026-Q2,dropped_unchanged,20,1,
ALLEI,OMXSTO:ALLEI,"OMXSTO_DLY_ALLEI, 3M.csv",17,17,16,2022-Q3,2026-Q2,dropped_unchanged,5,1,
ANOD B,OMXSTO:ANOD_B,"OMXSTO_DLY_ANOD_B, 3M.csv",91,33,32,2018-Q3,2026-Q2,dropped_unchanged,21,1,
ARJO B,OMXSTO:ARJO_B,"OMXSTO_DLY_ARJO_B, 3M.csv",36,33,32,2018-Q3,2026-Q2,dropped_unchanged,22,1,
ASSA B,OMXSTO:ASSA_B,"OMXSTO_DLY_ASSA_B, 3M.csv",107,33,32,2018-Q3,2026-Q2,dropped_unchanged,21,1,
ATCO A,OMXSTO:ATCO_A,"OMXSTO_DLY_ATCO_A, 3M.csv",107,33,32,2018-Q3,2026-Q2,dropped_unchanged,21,1,
ATCO B,OMXSTO:ATCO_B,"OMXSTO_DLY_ATCO_B, 3M.csv",107,33,32,2018-Q3,2026-Q2,dropped_unchanged,22,1,
ATRLJ B,OMXSTO:ATRLJ_B,"OMXSTO_DLY_ATRLJ_B, 3M.csv",108,33,32,2018-Q3,2026-Q2,dropped_unchanged,20,9,long_unchanged_run
ATT,OMXSTO:ATT,"OMXSTO_DLY_ATT, 3M.csv",44,33,32,2018-Q3,2026-Q2,dropped_unchanged,21,1,
AXFO,OMXSTO:AXFO,"OMXSTO_DLY_AXFO, 3M.csv",107,33,32,2018-Q3,2026-Q2,dropped_unchanged,21,1,
AZA,OMXSTO:AZA,"OMXSTO_DLY_AZA, 3M.csv",107,33,32,2018-Q3,2026-Q2,dropped_unchanged,20,1,
AZN,OMXSTO:AZN,"OMXSTO_DLY_AZN, 3M.csv",107,33,32,2018-Q3,2026-Q2,dropped_unchanged,22,1,
BAHN B,OMXSTO:BAHN_B,"OMXSTO_DLY_BAHN_B, 3M.csv",76,33,32,2018-Q3,2026-Q2,dropped_unchanged,22,5,long_unchanged_run
BALD B,OMXSTO:BALD_B,"OMXSTO_DLY_BALD_B, 3M.csv",85,33,32,2018-Q3,2026-Q2,dropped_unchanged,21,5,long_unchanged_run
BEIA B,OMXSTO:BEIA_B,"OMXSTO_DLY_BEIA_B, 3M.csv",102,33,32,2018-Q3,2026-Q2,dropped_unchanged,20,1,
BEIJ B,OMXSTO:BEIJ_B,"OMXSTO_DLY_BEIJ_B, 3M.csv",107,33,32,2018-Q3,2026-Q2,dropped_unchanged,20,2,
BERG B,OMXSTO:BERG_B,BERG_B_3M.csv,78,33,32,2018-Q3,2026-Q2,dropped_unchanged,20,1,
