ticker,earliest_eps_period_end,earliest_eps_quarter,earliest_usable_period_end,earliest_usable_quarter,earliest_usable_report_date,periods_with_eps,periods_with_report_date,periods_before_first_usable,start_status
AAK.ST,2023-09-30,2023-Q3,2023-09-30,2023-Q3,2023-10-25,12,12,0,usable
ABB.ST,2023-09-30,2023-Q3,2023-09-30,2023-Q3,2023-10-18,12,12,0,usable
ADDT-B.ST,2023-09-30,2023-Q3,2023-09-30,2023-Q3,2023-10-26,12,12,0,usable
ALIG.ST,2023-09-30,2023-Q3,2023-09-30,2023-Q3,2023-10-24,12,12,0,usable
ALIV-SDB.ST,2023-09-30,2023-Q3,2023-09-30,2023-Q3,2023-10-20,12,12,0,usable
ALLEI.ST,2023-09-30,2023-Q3,2023-09-30,2023-Q3,2023-10-24,11,11,0,usable
ANOD-B.ST,2023-09-30,2023-Q3,2023-09-30,2023-Q3,2023-10-27,11,11,0,usable
ARJO-B.ST,2023-09-30,2023-Q3,2023-09-30,2023-Q3,2023-10-19,10,10,0,usable
ASSA-B.ST,2023-09-30,2023-Q3,2023-09-30,2023-Q3,2023-10-25,11,11,0,usable
ATCO-A.ST,2023-09-30,2023-Q3,2023-09-30,2023-Q3,2023-10-25,11,11,0,usable
ATCO-B.ST,2023-09-30,2023-Q3,2024-03-31,2024-Q1,2024-04-24,12,10,2,usable
ATRLJ-B.ST,2023-09-30,2023-Q3,2023-09-30,2023-Q3,2023-10-12,12,12,0,usable
ATT.ST,2023-09-30,2023-Q3,2023-12-31,2023-Q4,2024-02-08,12,10,1,usable
AXFO.ST,2023-09-30,2023-Q3,2023-09-30,2023-Q3,2023-10-25,11,11,0,usable
AZA.ST,2023-09-30,2023-Q3,2023-09-30,2023-Q3,2023-10-20,12,12,0,usable
AZN.ST,2023-09-30,2023-Q3,2023-09-30,2023-Q3,2023-11-09,10,10,0,usable
BAHN-B.ST,2023-09-30,2023-Q3,2023-12-31,2023-Q4,2024-02-13,11,10,1,usable
BALD-B.ST,2023-09-30,2023-Q3,2023-09-30,2023-Q3,2024-02-09,12,11,0,usable
BEIA-B.ST,2023-09-30,2023-Q3,2023-09-30,2023-Q3,2023-10-26,12,12,0,usable
BEIJ-B.ST,2023-09-30,2023-Q3,2023-09-30,2023-Q3,2023-10-24,12,12,0,usable
BERG-B.ST,2023-09-30,2023-Q3,2023-09-30,2023-Q3,2023-10-19,12,12,0,usable
BETS-B.ST,2023-09-30,2023-Q3,2023-09-30,2023-Q3,2023-10-26,12,12,0,usable
BILI-A.ST,2023-09-30,2023-Q3,2023-09-30,2023-Q3,2023-10-24,12,12,0,usable
BIOG-B.ST,2023-09-30,2023-Q3,2024-03-31,2024-Q1,2024-05-07,12,10,2,usable
BOL.ST,2023-09-30,2023-Q3,2023-09-30,2023-Q3,2023-10-20,12,12,0,usable
BORG.ST,2023-09-30,2023-Q3,2024-03-31,2024-Q1,2024-05-16,11,9,2,usable
BRAV.ST,2023-09-30,2023-Q3,2023-09-30,2023-Q3,2023-10-25,12,12,0,usable
BTS-B.ST,2023-09-30,2023-Q3,2023-09-30,2023-Q3,2023-11-10,11,11,0,usable
CAST.ST,2023-09-30,2023-Q3,2023-09-30,2023-Q3,2023-10-27,12,12,0,usable
CATE.ST,2023-09-30,2023-Q3,2023-09-30,2023-Q3,2023-10-27,11,11,0,usable
CIBUS.ST,2023-09-30,2023-Q3,2024-03-31,2024-Q1,2024-04-23,11,10,1,usable
CLA-B.ST,2023-09-30,2023-Q3,2023-09-30,2023-Q3,2023-10-27,12,12,0,usable
CLAS-B.ST,2023-10-31,2023-Q4,2024-01-31,2024-Q1,2024-03-06,11,10,1,usable
COOR.ST,2023-09-30,2023-Q3,2023-09-30,2023-Q3,2023-10-25,12,12,0,usable
CTT.ST,2023-09-30,2023-Q3,2024-03-31,2024-Q1,2024-04-26,11,10,1,usable
DIOS.ST,2023-09-30,2023-Q3,2024-03-31,2024-Q1,2024-04-26,11,9,2,usable
DOM.ST,2023-09-30,2023-Q3,2023-09-30,2023-Q3,2023-10-26,12,12,0,usable
DUNI.ST,2022-09-30,2022-Q3,2024-03-31,2024-Q1,2024-04-24,13,10,3,usable
DYVOX.ST,2023-09-30,2023-Q3,2023-09-30,2023-Q3,2023-10-27,11,11,0,usable
EAST.ST,2023-09-30,2023-Q3,2024-03-31,2024-Q1,2024-04-24,12,10,2,usable
EKTA-B.ST,2023-10-31,2023-Q4,2023-10-31,2023-Q4,2023-11-30,10,10,0,usable
EMBRAC-B.ST,2023-09-30,2023-Q3,2023-09-30,2023-Q3,2023-11-16,10,10,0,usable
EPI-A.ST,2023-09-30,2023-Q3,2023-09-30,2023-Q3,2023-10-27,11,11,0,usable
EPI-B.ST,2023-09-30,2023-Q3,2024-03-31,2024-Q1,2024-04-23,12,10,2,usable
EQL.ST,2024-03-31,2024-Q1,2024-03-31,2024-Q1,2024-05-14,10,10,0,usable
EQT.ST,2023-06-30,2023-Q2,2023-06-30,2023-Q2,2023-07-14,5,5,0,usable
