start_status,earliest_usable_quarter,count,tickers
usable,2023-Q2,1,EQT.ST
usable,2023-Q3,83,AAK.ST;ABB.ST;ADDT-B.ST;ALIG.ST;ALIV-SDB.ST;ALLEI.ST;ANOD-B.ST;ARJO-B.ST;ASSA-B.ST;ATCO-A.ST;ATRLJ-B.ST;AXFO.ST;AZA.ST;AZN.ST;BEIA-B.ST;BEIJ-B.ST;BERG-B.ST;BETS-B.ST;BILI-A.ST;BOL.ST;BRAV.ST;BTS-B.ST;CAST.ST;CATE.ST;CLA-B.ST;COOR.ST;DOM.ST;DYVOX.ST;EMBRAC-B.ST;EPI-A.ST;ERIC-B.ST;ESSITY-B.ST;EVO.ST;FABG.ST;GENO.ST;GETI-B.ST;HANZA.ST;HEXA-B.ST;HMS.ST;HPOL-B.ST;HTRO.ST;HUFV-A.ST;INDT.ST;INTRUM.ST;INWI.ST;KAMBI.ST;KNOW.ST;LAGR-B.ST;LIFCO-B.ST;LIME.ST;LOOMIS.ST;LUMI.ST;MSAB-B.ST;MTG-B.ST;MTRS.ST;NDA-SE.ST;NEWA-B.ST;NIBE-B.ST;NOLA-B.ST;NORION.ST;PACT.ST;PEAB-B.ST;SAAB-B.ST;SAVE.ST;SCA-B.ST;SCST.ST;SEB-A.ST;SECARE.ST;SECU-B.ST;SHB-A.ST;SHOT.ST;SOBI.ST;SWEC-B.ST;SWED-A.ST;TEL2-B.ST;THULE.ST;TREL-B.ST;VBG-B.ST;VIT-B.ST;VITR.ST;WALL-B.ST;WIHL.ST;ZZ-B.ST
usable,2023-Q4,8,ATT.ST;BAHN-B.ST;BALD-B.ST;EKTA-B.ST;PNDX-B.ST;SVED-B.ST;SYSR.ST;VIVA.ST
usable,2024-Q1,13,ATCO-B.ST;BIOG-B.ST;BORG.ST;CIBUS.ST;CLAS-B.ST;CTT.ST;DIOS.ST;DUNI.ST;EAST.ST;EPI-B.ST;EQL.ST;MYCR.ST;SINT.ST
usable,2024-Q2,1,REJL-B.ST
usable,2024-Q4,2,MCAP.ST;MCOV-B.ST
usable,2025-Q3,1,SECT-B.ST
usable,2025-Q4,1,SFAST.ST
usable,2026-Q2,2,NMAN.ST;PLAZ-B.ST
eps_exists_but_no_report_date,,7,FOI-B.ST;HOLM-A.ST;INDU-A.ST;INVE-A.ST;SAGA-A.ST;SWEC-A.ST;VOLV-A.ST
