ticker,metric,as_of_date,value,currency_code,current_trailing_eps,is_latest_metric_row
AAK.ST,quarterlyBasicEPS,2024-12-31,3.57,SEK,13.87,False
AAK.ST,quarterlyBasicEPS,2025-03-31,3.59,SEK,13.87,False
AAK.ST,quarterlyBasicEPS,2025-06-30,2.47,SEK,13.87,False
AAK.ST,quarterlyBasicEPS,2025-12-31,3.64,SEK,13.87,False
AAK.ST,quarterlyBasicEPS,2026-03-31,3.69,SEK,13.87,False
AAK.ST,quarterlyBasicEPS,2026-06-30,3.07,SEK,13.87,True
AAK.ST,quarterlyDilutedEPS,2024-12-31,3.55,SEK,13.87,False
AAK.ST,quarterlyDilutedEPS,2025-03-31,3.58,SEK,13.87,False
AAK.ST,quarterlyDilutedEPS,2025-06-30,2.46,SEK,13.87,False
AAK.ST,quarterlyDilutedEPS,2025-12-31,3.63,SEK,13.87,False
AAK.ST,quarterlyDilutedEPS,2026-03-31,3.69,SEK,13.87,False
AAK.ST,quarterlyDilutedEPS,2026-06-30,3.06,SEK,13.87,True
AAK.ST,trailingBasicEPS,2023-09-30,10.01,SEK,13.87,False
AAK.ST,trailingBasicEPS,2023-12-31,11.35,SEK,13.87,False
AAK.ST,trailingBasicEPS,2024-03-31,12.39,SEK,13.87,False
AAK.ST,trailingBasicEPS,2024-06-30,13.15,SEK,13.87,False
AAK.ST,trailingBasicEPS,2024-09-30,13.38,SEK,13.87,False
AAK.ST,trailingBasicEPS,2024-12-31,13.62,SEK,13.87,False
AAK.ST,trailingBasicEPS,2025-03-31,13.62,SEK,13.87,False
AAK.ST,trailingBasicEPS,2025-06-30,12.97,SEK,13.87,False
AAK.ST,trailingBasicEPS,2025-12-31,13.21,SEK,13.87,False
AAK.ST,trailingBasicEPS,2026-03-31,13.31,SEK,13.87,False
AAK.ST,trailingBasicEPS,2026-06-30,13.91,SEK,13.87,True
AAK.ST,trailingDilutedEPS,2023-09-30,10.01,SEK,13.87,False
AAK.ST,trailingDilutedEPS,2023-12-31,11.35,SEK,13.87,False
AAK.ST,trailingDilutedEPS,2024-03-31,12.39,SEK,13.87,False
AAK.ST,trailingDilutedEPS,2024-06-30,13.13,SEK,13.87,False
AAK.ST,trailingDilutedEPS,2024-09-30,13.35,SEK,13.87,False
AAK.ST,trailingDilutedEPS,2024-12-31,13.57,SEK,13.87,False
AAK.ST,trailingDilutedEPS,2025-03-31,13.56,SEK,13.87,False
AAK.ST,trailingDilutedEPS,2025-06-30,12.92,SEK,13.87,False
AAK.ST,trailingDilutedEPS,2025-12-31,13.16,SEK,13.87,False
AAK.ST,trailingDilutedEPS,2026-03-31,13.27,SEK,13.87,False
AAK.ST,trailingDilutedEPS,2026-06-30,13.87,SEK,13.87,True
ABB.ST,quarterlyBasicEPS,2024-12-31,0.54,USD,2.76,False
ABB.ST,quarterlyBasicEPS,2025-03-31,0.6,USD,2.76,False
ABB.ST,quarterlyBasicEPS,2025-06-30,0.63,USD,2.76,False
ABB.ST,quarterlyBasicEPS,2025-12-31,0.7,USD,2.76,False
ABB.ST,quarterlyBasicEPS,2026-03-31,0.73,USD,2.76,False
ABB.ST,quarterlyBasicEPS,2026-06-30,0.68,USD,2.76,True
ABB.ST,quarterlyDilutedEPS,2024-12-31,0.53,USD,2.76,False
ABB.ST,quarterlyDilutedEPS,2025-03-31,0.6,USD,2.76,False
ABB.ST,quarterlyDilutedEPS,2025-06-30,0.63,USD,2.76,False
ABB.ST,quarterlyDilutedEPS,2025-12-31,0.7,USD,2.76,False
ABB.ST,quarterlyDilutedEPS,2026-03-31,0.73,USD,2.76,False
ABB.ST,quarterlyDilutedEPS,2026-06-30,0.68,USD,2.76,True
ABB.ST,trailingBasicEPS,2023-09-30,2.12,USD,2.76,False
ABB.ST,trailingBasicEPS,2023-12-31,2.02,USD,2.76,False
ABB.ST,trailingBasicEPS,2024-03-31,1.95,USD,2.76,False
ABB.ST,trailingBasicEPS,2024-06-30,2.07,USD,2.76,False
ABB.ST,trailingBasicEPS,2024-09-30,2.1,USD,2.76,False
ABB.ST,trailingBasicEPS,2024-12-31,2.13,USD,2.76,False
ABB.ST,trailingBasicEPS,2025-03-31,2.24,USD,2.76,False
