ticker,period_end,report_date,observed_date,eps_ttm,eps_currency,source
AAK.ST,2026-06-30,2026-07-16,2026-08-15,13.87,SEK,Yahoo Finance / trailingDilutedEPS
ABB.ST,2026-06-30,2026-07-15,2026-08-15,2.76,USD,Yahoo Finance / trailingDilutedEPS
ADDT-B.ST,2026-06-30,2026-07-14,2026-08-15,8.25,SEK,Yahoo Finance / trailingDilutedEPS
ALIG.ST,2026-06-30,2026-07-16,2026-08-15,5.14,SEK,Yahoo Finance / trailingDilutedEPS
ALIV-SDB.ST,2026-06-30,2026-07-17,2026-08-15,8.48,USD,Yahoo Finance / trailingDilutedEPS
ALLEI.ST,2026-06-30,2026-07-17,2026-08-15,3.65,SEK,Yahoo Finance / trailingDilutedEPS
ANOD-B.ST,2026-06-30,2026-07-14,2026-08-15,2.4,SEK,Yahoo Finance / trailingDilutedEPS
ARJO-B.ST,2026-06-30,2026-07-13,2026-08-15,1.42,SEK,Yahoo Finance / trailingDilutedEPS
ASSA-B.ST,2026-06-30,2026-07-17,2026-08-15,14.75,SEK,Yahoo Finance / trailingDilutedEPS
ATCO-A.ST,2026-06-30,2026-07-16,2026-08-15,5.46,SEK,Yahoo Finance / trailingDilutedEPS
ATCO-B.ST,2026-06-30,,2026-08-15,5.46,SEK,Yahoo Finance / trailingDilutedEPS
ATRLJ-B.ST,2026-06-30,2026-07-02,2026-08-15,0.91,SEK,Yahoo Finance / trailingDilutedEPS
ATT.ST,2026-03-31,2026-05-06,2026-08-15,5.88,SEK,Yahoo Finance / trailingDilutedEPS
AXFO.ST,2026-06-30,2026-07-15,2026-08-15,11.22,SEK,Yahoo Finance / trailingDilutedEPS
AZA.ST,2026-06-30,2026-07-13,2026-08-15,17.91,SEK,Yahoo Finance / trailingDilutedEPS
AZN.ST,2026-06-30,2026-07-27,2026-08-15,6.68,USD,Yahoo Finance / trailingDilutedEPS
BAHN-B.ST,2026-03-31,2026-02-17,2026-08-15,1.74,SEK,Yahoo Finance / trailingDilutedEPS
BALD-B.ST,2026-06-30,2026-07-14,2026-08-15,5.18,SEK,Yahoo Finance / trailingDilutedEPS
BEIA-B.ST,2026-06-30,2026-07-16,2026-08-15,12.456137,SEK,Yahoo Finance / trailingDilutedEPS
BEIJ-B.ST,2026-06-30,2026-07-16,2026-08-15,4.67,SEK,Yahoo Finance / trailingDilutedEPS
BERG-B.ST,2026-06-30,2026-07-15,2026-08-15,8.55,SEK,Yahoo Finance / trailingDilutedEPS
BETS-B.ST,2026-06-30,2026-07-16,2026-08-15,0.96,EUR,Yahoo Finance / trailingDilutedEPS
BILI-A.ST,2026-06-30,2026-07-17,2026-08-15,9.08,SEK,Yahoo Finance / trailingDilutedEPS
BIOG-B.ST,2026-06-30,2026-07-16,2026-08-15,3.43,SEK,Yahoo Finance / trailingDilutedEPS
BOL.ST,2026-06-30,2026-07-20,2026-08-15,44.74,SEK,Yahoo Finance / trailingDilutedEPS
BORG.ST,2026-03-31,2026-04-29,2026-08-15,3.7,SEK,Yahoo Finance / trailingDilutedEPS
BRAV.ST,2026-06-30,2026-05-05,2026-08-15,6.85,SEK,Yahoo Finance / trailingDilutedEPS
BTS-B.ST,2026-03-31,2026-08-14,2026-08-15,6.98,SEK,Yahoo Finance / trailingDilutedEPS
CAST.ST,2026-06-30,2026-07-15,2026-08-15,5.59,SEK,Yahoo Finance / trailingDilutedEPS
CATE.ST,2026-06-30,2026-07-05,2026-08-15,34.05,SEK,Yahoo Finance / trailingDilutedEPS
CIBUS.ST,2026-06-30,2026-07-16,2026-08-15,1.03,EUR,Yahoo Finance / trailingDilutedEPS
CLA-B.ST,2026-06-30,2026-07-14,2026-08-15,2.98,SEK,Yahoo Finance / trailingDilutedEPS
CLAS-B.ST,2026-04-30,2026-06-03,2026-08-15,18.29,SEK,Yahoo Finance / trailingDilutedEPS
COOR.ST,2026-06-30,2026-07-15,2026-08-15,2.8,SEK,Yahoo Finance / trailingDilutedEPS
CTT.ST,2026-06-30,2023-02-07,2026-08-15,2.92,SEK,Yahoo Finance / trailingDilutedEPS
DIOS.ST,2026-06-30,2018-10-25,2026-08-15,7.97,SEK,Yahoo Finance / trailingDilutedEPS
DOM.ST,2026-06-30,2026-07-13,2026-08-15,0.96,SEK,Yahoo Finance / trailingDilutedEPS
DUNI.ST,2026-06-30,2018-07-13,2026-08-15,4.33,SEK,Yahoo Finance / trailingDilutedEPS
DYVOX.ST,2026-06-30,2026-07-22,2026-08-15,2.12,SEK,Yahoo Finance / trailingDilutedEPS
EAST.ST,2026-06-30,2026-07-07,2026-08-15,0.28,EUR,Yahoo Finance / trailingDilutedEPS
EKTA-B.ST,2026-04-30,2026-05-28,2026-08-15,-1.36,SEK,Yahoo Finance / trailingDilutedEPS
EMBRAC-B.ST,2026-03-31,2026-08-13,2026-08-15,-27.67,SEK,Yahoo Finance / trailingDilutedEPS
EPI-A.ST,2026-06-30,2026-07-17,2026-08-15,7.31,SEK,Yahoo Finance / trailingDilutedEPS
EPI-B.ST,2026-06-30,,2026-08-15,7.31,SEK,Yahoo Finance / trailingDilutedEPS
EQL.ST,2026-06-30,2026-05-08,2026-08-15,-0.49,SEK,Yahoo Finance / trailingDilutedEPS
EQT.ST,2025-12-31,,2026-08-15,0.618,EUR,Yahoo Finance / trailingDilutedEPS
ERIC-B.ST,2026-06-30,2026-07-14,2026-08-15,7.38,SEK,Yahoo Finance / trailingDilutedEPS
ESSITY-B.ST,2026-06-30,2026-07-15,2026-08-15,17.73,SEK,Yahoo Finance / trailingDilutedEPS
EVO.ST,2026-06-30,2026-07-17,2026-08-15,5.31,EUR,Yahoo Finance / trailingDilutedEPS
FABG.ST,2026-06-30,2026-07-05,2026-08-15,1.37,SEK,Yahoo Finance / trailingDilutedEPS
FOI-B.ST,2026-06-30,2023-02-09,2026-08-15,0.179,EUR,Yahoo Finance / trailingDilutedEPS
GENO.ST,2026-06-30,2026-04-28,2026-08-15,0.31,SEK,Yahoo Finance / trailingDilutedEPS
GETI-B.ST,2026-06-30,2026-07-17,2026-08-15,9.83,SEK,Yahoo Finance / trailingDilutedEPS
HANZA.ST,2026-06-30,2026-07-20,2026-08-15,6.26,SEK,Yahoo Finance / trailingDilutedEPS
HEXA-B.ST,2026-06-30,2026-07-28,2026-08-15,0.788,EUR,Yahoo Finance / trailingDilutedEPS
HMS.ST,2026-06-30,2026-07-13,2026-08-15,11.01,SEK,Yahoo Finance / trailingDilutedEPS
HOLM-A.ST,2026-03-31,,2026-08-15,17.7,SEK,Yahoo Finance / trailingDilutedEPS
HPOL-B.ST,2026-06-30,2026-07-20,2026-08-15,5.3,SEK,Yahoo Finance / trailingDilutedEPS
HTRO.ST,2026-06-30,2026-07-14,2026-08-15,0.19,SEK,Yahoo Finance / trailingDilutedEPS
HUFV-A.ST,2026-03-31,2026-05-08,2026-08-15,5.29,SEK,Yahoo Finance / trailingDilutedEPS
INDT.ST,2026-06-30,2026-07-15,2026-08-15,7.36,SEK,Yahoo Finance / trailingDilutedEPS
INDU-A.ST,2026-06-30,,2026-08-15,145.54,SEK,Yahoo Finance / trailingDilutedEPS
INTRUM.ST,2026-03-31,2026-05-07,2026-08-15,-2.97296,SEK,Yahoo Finance / trailingDilutedEPS
