ticker,period_end,report_date,observed_date,eps_ttm,eps_currency,source
ATT.ST,2026-06-30,2026-08-19,2026-08-23,6.61,SEK,Yahoo Finance / trailingDilutedEPS
BORG.ST,2026-06-30,2026-04-29,2026-09-07,3.88,SEK,Yahoo Finance / trailingDilutedEPS
BTS-B.ST,2026-06-30,2026-08-14,2026-09-07,4.9,SEK,Yahoo Finance / trailingDilutedEPS
CLAS-B.ST,2026-07-31,2026-09-02,2026-09-07,19.75,SEK,Yahoo Finance / trailingDilutedEPS
EKTA-B.ST,2026-07-31,2026-08-26,2026-08-29,-0.95,SEK,Yahoo Finance / trailingDilutedEPS
EMBRAC-B.ST,2026-06-30,2026-08-13,2026-09-07,-25.52,SEK,Yahoo Finance / trailingDilutedEPS
HOLM-A.ST,2026-06-30,,2026-08-23,17.3,SEK,Yahoo Finance / trailingDilutedEPS
HUFV-A.ST,2026-06-30,2026-08-19,2026-08-23,5.92,SEK,Yahoo Finance / trailingDilutedEPS
INTRUM.ST,2026-06-30,2026-05-07,2026-09-07,-7.20528,SEK,Yahoo Finance / trailingDilutedEPS
NEWA-B.ST,2026-06-30,2026-08-20,2026-08-23,6.05,SEK,Yahoo Finance / trailingDilutedEPS
NIBE-B.ST,2026-06-30,2026-08-21,2026-08-23,1.31,SEK,Yahoo Finance / trailingDilutedEPS
SECT-B.ST,2026-07-31,2026-09-04,2026-09-07,3.22,SEK,Yahoo Finance / trailingDilutedEPS
SINT.ST,2026-06-30,2026-04-29,2026-08-23,2.71,SEK,Yahoo Finance / trailingDilutedEPS
SYSR.ST,2026-07-31,2026-06-10,2026-09-07,3.84,SEK,Yahoo Finance / trailingDilutedEPS
VIVA.ST,2026-06-30,2026-02-19,2026-08-23,2.32,SEK,Yahoo Finance / trailingDilutedEPS
ZZ-B.ST,2026-06-30,2025-11-19,2026-08-26,11.02,SEK,Yahoo Finance / trailingDilutedEPS
