ticker,period_end,report_date,observed_date,metric,eps,eps_currency,source
AAK.ST,2023-09-30,2023-10-25,2026-08-31,reportedEPS,3.1,SEK,Yahoo Finance / Reported EPS
AAK.ST,2023-12-31,2024-02-07,2026-08-31,reportedEPS,3.34,SEK,Yahoo Finance / Reported EPS
AAK.ST,2024-03-31,2024-04-25,2026-08-31,reportedEPS,3.59,SEK,Yahoo Finance / Reported EPS
AAK.ST,2024-06-30,2024-07-18,2026-08-31,reportedEPS,3.1,SEK,Yahoo Finance / Reported EPS
AAK.ST,2024-09-30,2024-10-24,2026-08-31,reportedEPS,3.35,SEK,Yahoo Finance / Reported EPS
AAK.ST,2024-12-31,,2026-08-31,quarterlyDilutedEPS,3.55,SEK,Yahoo Finance / quarterlyDilutedEPS
AAK.ST,2024-12-31,2025-02-05,2026-08-31,reportedEPS,3.57,SEK,Yahoo Finance / Reported EPS
AAK.ST,2025-03-31,,2026-09-04,quarterlyDilutedEPS,3.58,SEK,Yahoo Finance / quarterlyDilutedEPS
AAK.ST,2025-03-31,2025-04-24,2026-08-31,reportedEPS,3.58,SEK,Yahoo Finance / Reported EPS
AAK.ST,2025-06-30,,2026-09-04,quarterlyDilutedEPS,2.46,SEK,Yahoo Finance / quarterlyDilutedEPS
AAK.ST,2025-06-30,2025-07-17,2026-08-31,reportedEPS,3.26,SEK,Yahoo Finance / Reported EPS
AAK.ST,2025-09-30,,2026-08-31,quarterlyDilutedEPS,3.49,SEK,Yahoo Finance / derived from trailingDilutedEPS and quarterlyDilutedEPS / next-period TTM bridge
AAK.ST,2025-12-31,,2026-09-04,quarterlyDilutedEPS,3.63,SEK,Yahoo Finance / quarterlyDilutedEPS
AAK.ST,2025-12-31,2026-02-05,2026-08-31,reportedEPS,3.64,SEK,Yahoo Finance / Reported EPS
AAK.ST,2026-03-31,,2026-09-04,quarterlyDilutedEPS,3.69,SEK,Yahoo Finance / quarterlyDilutedEPS
AAK.ST,2026-03-31,2026-04-28,2026-08-31,reportedEPS,3.69,SEK,Yahoo Finance / Reported EPS
AAK.ST,2026-06-30,,2026-09-04,quarterlyDilutedEPS,3.06,SEK,Yahoo Finance / quarterlyDilutedEPS
AAK.ST,2026-06-30,2026-07-17,2026-08-31,reportedEPS,3.06,SEK,Yahoo Finance / Reported EPS
ABB.ST,2023-09-30,2023-10-18,2026-08-31,reportedEPS,0.54,USD,Yahoo Finance / Reported EPS
ABB.ST,2023-12-31,2024-02-01,2026-08-31,reportedEPS,0.59,USD,Yahoo Finance / Reported EPS
ABB.ST,2024-03-31,2024-04-18,2026-08-31,reportedEPS,0.57,USD,Yahoo Finance / Reported EPS
ABB.ST,2024-06-30,2024-07-18,2026-08-31,reportedEPS,0.67,USD,Yahoo Finance / Reported EPS
ABB.ST,2024-09-30,2024-10-17,2026-08-31,reportedEPS,0.68,USD,Yahoo Finance / Reported EPS
ABB.ST,2024-12-31,,2026-08-31,quarterlyDilutedEPS,0.53,USD,Yahoo Finance / quarterlyDilutedEPS
ABB.ST,2024-12-31,2025-01-30,2026-08-31,reportedEPS,0.65,USD,Yahoo Finance / Reported EPS
ABB.ST,2025-03-31,,2026-09-04,quarterlyDilutedEPS,0.6,USD,Yahoo Finance / quarterlyDilutedEPS
ABB.ST,2025-03-31,2025-04-17,2026-08-31,reportedEPS,0.61,USD,Yahoo Finance / Reported EPS
ABB.ST,2025-06-30,,2026-09-04,quarterlyDilutedEPS,0.63,USD,Yahoo Finance / quarterlyDilutedEPS
ABB.ST,2025-06-30,2025-07-17,2026-08-31,reportedEPS,0.7,USD,Yahoo Finance / Reported EPS
ABB.ST,2025-09-30,,2026-08-31,quarterlyDilutedEPS,0.6599999999999999,USD,Yahoo Finance / derived from trailingDilutedEPS and quarterlyDilutedEPS / next-period TTM bridge
ABB.ST,2025-12-31,,2026-09-04,quarterlyDilutedEPS,0.7,USD,Yahoo Finance / quarterlyDilutedEPS
ABB.ST,2025-12-31,2026-01-29,2026-08-31,reportedEPS,0.73,USD,Yahoo Finance / Reported EPS
ABB.ST,2026-03-31,,2026-09-04,quarterlyDilutedEPS,0.73,USD,Yahoo Finance / quarterlyDilutedEPS
ABB.ST,2026-03-31,2026-04-22,2026-08-31,reportedEPS,0.84,USD,Yahoo Finance / Reported EPS
ABB.ST,2026-06-30,,2026-09-04,quarterlyDilutedEPS,0.68,USD,Yahoo Finance / quarterlyDilutedEPS
ABB.ST,2026-06-30,2026-07-16,2026-08-31,reportedEPS,0.8,USD,Yahoo Finance / Reported EPS
ADDT-B.ST,2023-09-30,2023-10-26,2026-08-31,reportedEPS,1.6,SEK,Yahoo Finance / Reported EPS
ADDT-B.ST,2023-12-31,2024-02-07,2026-08-31,reportedEPS,1.45,SEK,Yahoo Finance / Reported EPS
ADDT-B.ST,2024-03-31,2024-05-16,2026-08-31,reportedEPS,1.6,SEK,Yahoo Finance / Reported EPS
ADDT-B.ST,2024-06-30,2024-07-12,2026-08-31,reportedEPS,1.8,SEK,Yahoo Finance / Reported EPS
ADDT-B.ST,2024-09-30,2024-10-24,2026-08-31,reportedEPS,1.6,SEK,Yahoo Finance / Reported EPS
ADDT-B.ST,2024-12-31,,2026-08-31,quarterlyDilutedEPS,1.65,SEK,Yahoo Finance / quarterlyDilutedEPS
ADDT-B.ST,2024-12-31,2025-02-04,2026-08-31,reportedEPS,1.65,SEK,Yahoo Finance / Reported EPS
ADDT-B.ST,2025-03-31,,2026-09-04,quarterlyDilutedEPS,1.95,SEK,Yahoo Finance / quarterlyDilutedEPS
ADDT-B.ST,2025-03-31,2025-05-15,2026-08-31,reportedEPS,1.95,SEK,Yahoo Finance / Reported EPS
ADDT-B.ST,2025-06-30,,2026-09-04,quarterlyDilutedEPS,2.0,SEK,Yahoo Finance / quarterlyDilutedEPS
ADDT-B.ST,2025-06-30,2025-07-15,2026-08-31,reportedEPS,2.0,SEK,Yahoo Finance / Reported EPS
ADDT-B.ST,2025-09-30,,2026-08-31,quarterlyDilutedEPS,1.8000000000000007,SEK,Yahoo Finance / derived from trailingDilutedEPS and quarterlyDilutedEPS / next-period TTM bridge
ADDT-B.ST,2025-12-31,,2026-09-04,quarterlyDilutedEPS,1.9,SEK,Yahoo Finance / quarterlyDilutedEPS
ADDT-B.ST,2025-12-31,2026-02-05,2026-08-31,reportedEPS,1.9,SEK,Yahoo Finance / Reported EPS
ADDT-B.ST,2026-03-31,,2026-09-04,quarterlyDilutedEPS,2.25,SEK,Yahoo Finance / quarterlyDilutedEPS
ADDT-B.ST,2026-03-31,2026-05-20,2026-08-31,reportedEPS,2.25,SEK,Yahoo Finance / Reported EPS
ADDT-B.ST,2026-06-30,,2026-09-04,quarterlyDilutedEPS,2.3,SEK,Yahoo Finance / quarterlyDilutedEPS
ADDT-B.ST,2026-06-30,2026-07-14,2026-08-31,reportedEPS,2.3,SEK,Yahoo Finance / Reported EPS
ALIG.ST,2023-09-30,2023-10-24,2026-08-31,reportedEPS,1.1,SEK,Yahoo Finance / Reported EPS
ALIG.ST,2023-12-31,2024-02-12,2026-08-31,reportedEPS,1.72,SEK,Yahoo Finance / Reported EPS
ALIG.ST,2024-03-31,2024-04-25,2026-08-31,reportedEPS,1.66,SEK,Yahoo Finance / Reported EPS
ALIG.ST,2024-06-30,2024-07-18,2026-08-31,reportedEPS,1.81,SEK,Yahoo Finance / Reported EPS
ALIG.ST,2024-09-30,2024-10-29,2026-08-31,reportedEPS,1.79,SEK,Yahoo Finance / Reported EPS
ALIG.ST,2024-12-31,,2026-08-31,quarterlyDilutedEPS,1.83,SEK,Yahoo Finance / quarterlyDilutedEPS
ALIG.ST,2024-12-31,2025-02-13,2026-08-31,reportedEPS,2.21,SEK,Yahoo Finance / Reported EPS
ALIG.ST,2025-03-31,,2026-09-04,quarterlyDilutedEPS,1.73,SEK,Yahoo Finance / quarterlyDilutedEPS
ALIG.ST,2025-03-31,2025-04-24,2026-08-31,reportedEPS,1.78,SEK,Yahoo Finance / Reported EPS
ALIG.ST,2025-06-30,,2026-09-04,quarterlyDilutedEPS,1.73,SEK,Yahoo Finance / quarterlyDilutedEPS
ALIG.ST,2025-06-30,2025-07-18,2026-08-31,reportedEPS,1.73,SEK,Yahoo Finance / Reported EPS
ALIG.ST,2025-09-30,,2026-08-31,quarterlyDilutedEPS,1.2200000000000006,SEK,Yahoo Finance / derived from trailingDilutedEPS and quarterlyDilutedEPS / next-period TTM bridge
ALIG.ST,2025-12-31,,2026-09-04,quarterlyDilutedEPS,0.97,SEK,Yahoo Finance / quarterlyDilutedEPS
ALIG.ST,2025-12-31,2026-02-10,2026-08-31,reportedEPS,0.97,SEK,Yahoo Finance / Reported EPS
ALIG.ST,2026-03-31,,2026-09-04,quarterlyDilutedEPS,1.38,SEK,Yahoo Finance / quarterlyDilutedEPS
ALIG.ST,2026-03-31,2026-04-28,2026-08-31,reportedEPS,1.38,SEK,Yahoo Finance / Reported EPS
ALIG.ST,2026-06-30,,2026-09-04,quarterlyDilutedEPS,1.57,SEK,Yahoo Finance / quarterlyDilutedEPS
ALIG.ST,2026-06-30,2026-07-17,2026-08-31,reportedEPS,1.57,SEK,Yahoo Finance / Reported EPS
ALIV-SDB.ST,2023-09-30,2023-10-20,2026-08-31,reportedEPS,1.66,USD,Yahoo Finance / Reported EPS
ALIV-SDB.ST,2023-12-31,2024-01-26,2026-08-31,reportedEPS,3.74,USD,Yahoo Finance / Reported EPS
ALIV-SDB.ST,2024-03-31,2024-04-26,2026-08-31,reportedEPS,1.58,USD,Yahoo Finance / Reported EPS
ALIV-SDB.ST,2024-06-30,2024-07-19,2026-08-31,reportedEPS,1.87,USD,Yahoo Finance / Reported EPS
ALIV-SDB.ST,2024-09-30,2024-10-18,2026-08-31,reportedEPS,1.84,USD,Yahoo Finance / Reported EPS
ALIV-SDB.ST,2024-12-31,,2026-08-31,quarterlyDilutedEPS,3.1,USD,Yahoo Finance / quarterlyDilutedEPS
ALIV-SDB.ST,2024-12-31,2025-01-31,2026-08-31,reportedEPS,3.05,USD,Yahoo Finance / Reported EPS
ALIV-SDB.ST,2025-03-31,,2026-09-04,quarterlyDilutedEPS,2.14,USD,Yahoo Finance / quarterlyDilutedEPS
ALIV-SDB.ST,2025-03-31,2025-04-16,2026-08-31,reportedEPS,2.15,USD,Yahoo Finance / Reported EPS
ALIV-SDB.ST,2025-06-30,,2026-09-04,quarterlyDilutedEPS,2.16,USD,Yahoo Finance / quarterlyDilutedEPS
ALIV-SDB.ST,2025-06-30,2025-07-18,2026-08-31,reportedEPS,2.16,USD,Yahoo Finance / Reported EPS
ALIV-SDB.ST,2025-09-30,,2026-08-31,quarterlyDilutedEPS,2.2700000000000005,USD,Yahoo Finance / derived from trailingDilutedEPS and quarterlyDilutedEPS / next-period TTM bridge
ALIV-SDB.ST,2025-12-31,,2026-09-04,quarterlyDilutedEPS,2.98,USD,Yahoo Finance / quarterlyDilutedEPS
ALIV-SDB.ST,2025-12-31,2026-01-30,2026-08-31,reportedEPS,3.19,USD,Yahoo Finance / Reported EPS
ALIV-SDB.ST,2026-03-31,,2026-09-04,quarterlyDilutedEPS,1.88,USD,Yahoo Finance / quarterlyDilutedEPS
ALIV-SDB.ST,2026-03-31,2026-04-17,2026-08-31,reportedEPS,2.05,USD,Yahoo Finance / Reported EPS
ALIV-SDB.ST,2026-06-30,,2026-09-04,quarterlyDilutedEPS,1.35,USD,Yahoo Finance / quarterlyDilutedEPS
ALIV-SDB.ST,2026-06-30,2026-07-17,2026-08-31,reportedEPS,2.43,USD,Yahoo Finance / Reported EPS
ALLEI.ST,2023-09-30,2023-10-24,2026-08-31,reportedEPS,0.99,SEK,Yahoo Finance / Reported EPS
ALLEI.ST,2024-03-31,2024-04-23,2026-08-31,reportedEPS,1.24,SEK,Yahoo Finance / Reported EPS
ALLEI.ST,2024-06-30,2024-07-19,2026-08-31,reportedEPS,2.23,SEK,Yahoo Finance / Reported EPS
ALLEI.ST,2024-09-30,2024-10-22,2026-08-31,reportedEPS,1.02,SEK,Yahoo Finance / Reported EPS
ALLEI.ST,2024-12-31,,2026-08-31,quarterlyDilutedEPS,1.18,SEK,Yahoo Finance / quarterlyDilutedEPS
ALLEI.ST,2024-12-31,2025-01-24,2026-08-31,reportedEPS,1.79,SEK,Yahoo Finance / Reported EPS
ALLEI.ST,2025-03-31,,2026-09-04,quarterlyDilutedEPS,1.57,SEK,Yahoo Finance / quarterlyDilutedEPS
ALLEI.ST,2025-03-31,2025-04-23,2026-08-31,reportedEPS,1.65,SEK,Yahoo Finance / Reported EPS
ALLEI.ST,2025-06-30,,2026-09-04,quarterlyDilutedEPS,0.81,SEK,Yahoo Finance / quarterlyDilutedEPS
ALLEI.ST,2025-06-30,2025-07-18,2026-08-31,reportedEPS,1.35,SEK,Yahoo Finance / Reported EPS
ALLEI.ST,2025-09-30,,2026-08-31,quarterlyDilutedEPS,0.3500000000000001,SEK,Yahoo Finance / derived from trailingDilutedEPS and quarterlyDilutedEPS / next-period TTM bridge
ALLEI.ST,2025-12-31,,2026-09-04,quarterlyDilutedEPS,-0.05,SEK,Yahoo Finance / quarterlyDilutedEPS
ALLEI.ST,2025-12-31,2026-01-27,2026-08-31,reportedEPS,1.06,SEK,Yahoo Finance / Reported EPS
ALLEI.ST,2026-03-31,,2026-09-04,quarterlyDilutedEPS,1.16,SEK,Yahoo Finance / quarterlyDilutedEPS
ALLEI.ST,2026-03-31,2026-04-27,2026-08-31,reportedEPS,1.14,SEK,Yahoo Finance / Reported EPS
ALLEI.ST,2026-06-30,,2026-09-04,quarterlyDilutedEPS,2.2,SEK,Yahoo Finance / quarterlyDilutedEPS
ALLEI.ST,2026-06-30,2026-07-17,2026-08-31,reportedEPS,1.57,SEK,Yahoo Finance / Reported EPS
ANOD-B.ST,2023-09-30,2023-10-27,2026-08-31,reportedEPS,0.26,SEK,Yahoo Finance / Reported EPS
ANOD-B.ST,2023-12-31,2024-02-02,2026-08-31,reportedEPS,0.82,SEK,Yahoo Finance / Reported EPS
ANOD-B.ST,2024-03-31,2024-04-25,2026-08-31,reportedEPS,0.9,SEK,Yahoo Finance / Reported EPS
ANOD-B.ST,2024-06-30,2024-07-12,2026-08-31,reportedEPS,0.41,SEK,Yahoo Finance / Reported EPS
ANOD-B.ST,2024-09-30,2024-10-24,2026-08-31,reportedEPS,0.63,SEK,Yahoo Finance / Reported EPS
ANOD-B.ST,2024-12-31,,2026-08-31,quarterlyDilutedEPS,0.98,SEK,Yahoo Finance / quarterlyDilutedEPS
ANOD-B.ST,2025-03-31,,2026-09-04,quarterlyDilutedEPS,0.67,SEK,Yahoo Finance / quarterlyDilutedEPS
ANOD-B.ST,2025-03-31,2025-04-25,2026-08-31,reportedEPS,0.67,SEK,Yahoo Finance / Reported EPS
ANOD-B.ST,2025-06-30,,2026-09-04,quarterlyDilutedEPS,0.78,SEK,Yahoo Finance / quarterlyDilutedEPS
ANOD-B.ST,2025-06-30,2025-07-14,2026-08-31,reportedEPS,0.78,SEK,Yahoo Finance / Reported EPS
ANOD-B.ST,2025-09-30,,2026-08-31,quarterlyDilutedEPS,0.4100000000000001,SEK,Yahoo Finance / derived from trailingDilutedEPS and quarterlyDilutedEPS / next-period TTM bridge
ANOD-B.ST,2025-12-31,,2026-09-04,quarterlyDilutedEPS,1.01,SEK,Yahoo Finance / quarterlyDilutedEPS
ANOD-B.ST,2025-12-31,2026-02-03,2026-08-31,reportedEPS,1.01,SEK,Yahoo Finance / Reported EPS
ANOD-B.ST,2026-03-31,,2026-09-04,quarterlyDilutedEPS,0.83,SEK,Yahoo Finance / quarterlyDilutedEPS
ANOD-B.ST,2026-03-31,2026-04-28,2026-08-31,reportedEPS,0.83,SEK,Yahoo Finance / Reported EPS
ANOD-B.ST,2026-06-30,,2026-09-04,quarterlyDilutedEPS,0.15,SEK,Yahoo Finance / quarterlyDilutedEPS
ANOD-B.ST,2026-06-30,2026-07-15,2026-08-31,reportedEPS,0.15,SEK,Yahoo Finance / Reported EPS
ARJO-B.ST,2023-09-30,2023-10-19,2026-08-31,reportedEPS,0.38,SEK,Yahoo Finance / Reported EPS
ARJO-B.ST,2024-03-31,2024-04-18,2026-08-31,reportedEPS,0.56,SEK,Yahoo Finance / Reported EPS
ARJO-B.ST,2024-06-30,2024-07-12,2026-08-31,reportedEPS,0.45,SEK,Yahoo Finance / Reported EPS
ARJO-B.ST,2024-09-30,2024-10-17,2026-08-31,reportedEPS,0.28,SEK,Yahoo Finance / Reported EPS
ARJO-B.ST,2024-12-31,,2026-08-31,quarterlyDilutedEPS,0.64,SEK,Yahoo Finance / quarterlyDilutedEPS
ARJO-B.ST,2025-03-31,,2026-09-04,quarterlyDilutedEPS,0.34,SEK,Yahoo Finance / quarterlyDilutedEPS
ARJO-B.ST,2025-03-31,2025-04-29,2026-08-31,reportedEPS,0.44,SEK,Yahoo Finance / Reported EPS
ARJO-B.ST,2025-06-30,,2026-09-04,quarterlyDilutedEPS,0.34,SEK,Yahoo Finance / quarterlyDilutedEPS
ARJO-B.ST,2025-06-30,2025-07-11,2026-08-31,reportedEPS,0.43,SEK,Yahoo Finance / Reported EPS
ARJO-B.ST,2025-09-30,,2026-08-31,quarterlyDilutedEPS,0.2899999999999999,SEK,Yahoo Finance / derived from trailingDilutedEPS and quarterlyDilutedEPS / next-period TTM bridge
ARJO-B.ST,2025-12-31,,2026-09-04,quarterlyDilutedEPS,0.26,SEK,Yahoo Finance / quarterlyDilutedEPS
ARJO-B.ST,2025-12-31,2026-01-30,2026-08-31,reportedEPS,0.43,SEK,Yahoo Finance / Reported EPS
ARJO-B.ST,2026-03-31,,2026-09-04,quarterlyDilutedEPS,0.4,SEK,Yahoo Finance / quarterlyDilutedEPS
ARJO-B.ST,2026-03-31,2026-04-22,2026-08-31,reportedEPS,0.41,SEK,Yahoo Finance / Reported EPS
ARJO-B.ST,2026-06-30,,2026-09-04,quarterlyDilutedEPS,0.46,SEK,Yahoo Finance / quarterlyDilutedEPS
ARJO-B.ST,2026-06-30,2026-07-14,2026-08-31,reportedEPS,0.46,SEK,Yahoo Finance / Reported EPS
ASSA-B.ST,2023-09-30,2023-10-25,2026-08-31,reportedEPS,3.31,SEK,Yahoo Finance / Reported EPS
ASSA-B.ST,2023-12-31,2024-02-07,2026-08-31,reportedEPS,3.56,SEK,Yahoo Finance / Reported EPS
ASSA-B.ST,2024-03-31,2024-04-24,2026-08-31,reportedEPS,3.12,SEK,Yahoo Finance / Reported EPS
ASSA-B.ST,2024-06-30,2024-07-17,2026-08-31,reportedEPS,3.54,SEK,Yahoo Finance / Reported EPS
ASSA-B.ST,2024-09-30,2024-10-23,2026-08-31,reportedEPS,3.63,SEK,Yahoo Finance / Reported EPS
ASSA-B.ST,2024-12-31,,2026-09-04,quarterlyDilutedEPS,3.81,SEK,Yahoo Finance / quarterlyDilutedEPS
ASSA-B.ST,2024-12-31,2025-02-05,2026-08-31,reportedEPS,3.81,SEK,Yahoo Finance / Reported EPS
ASSA-B.ST,2025-03-31,,2026-08-31,quarterlyDilutedEPS,2.204764957111065,SEK,Yahoo Finance / quarterly_income_stmt diluted net income / diluted average shares
ASSA-B.ST,2025-03-31,2025-04-23,2026-08-31,reportedEPS,3.2,SEK,Yahoo Finance / Reported EPS
