ticker,report_period,report_date
AAK.ST,2024-Q1,2024-04-25
AAK.ST,2024-Q2,2024-07-18
AAK.ST,2024-Q3,2024-10-24
AAK.ST,2024-Q4,2025-02-05
AAK.ST,2025-Q1,2025-04-24
AAK.ST,2025-Q2,2025-07-17
AAK.ST,2025-Q3,2025-10-23
AAK.ST,2025-Q4,2026-02-05
AAK.ST,2026-Q1,2026-04-28
AAK.ST,2026-Q2,2026-07-17
ABB.ST,2024-Q1,2024-04-18
ABB.ST,2024-Q2,2024-07-18
ABB.ST,2024-Q3,2024-10-17
ABB.ST,2024-Q4,2025-01-30
ABB.ST,2025-Q1,2025-04-17
ABB.ST,2025-Q2,2025-07-17
ABB.ST,2025-Q3,2025-10-16
ABB.ST,2025-Q4,2026-01-29
ABB.ST,2026-Q1,2026-04-22
ABB.ST,2026-Q2,2026-07-16
ADDT-B.ST,2024-Q4,2024-05-16
ADDT-B.ST,2025-Q1,2024-07-12
ADDT-B.ST,2025-Q2,2024-10-24
ADDT-B.ST,2025-Q3,2025-02-04
ADDT-B.ST,2025-Q4,2025-05-15
ADDT-B.ST,2026-Q1,2025-07-15
ADDT-B.ST,2026-Q2,2025-10-23
ADDT-B.ST,2026-Q3,2026-02-05
ADDT-B.ST,2026-Q4,2026-05-20
ADDT-B.ST,2027-Q1,2026-07-14
ALIG.ST,2024-Q1,2024-04-25
ALIG.ST,2024-Q2,2024-07-18
ALIG.ST,2024-Q3,2024-10-29
ALIG.ST,2024-Q4,2025-02-13
ALIG.ST,2025-Q1,2025-04-24
ALIG.ST,2025-Q2,2025-07-18
ALIG.ST,2025-Q3,2025-10-23
ALIG.ST,2025-Q4,2026-02-10
ALIG.ST,2026-Q1,2026-04-28
ALIG.ST,2026-Q2,2026-07-17
ALIV-SDB.ST,2024-Q1,2024-04-26
ALIV-SDB.ST,2024-Q2,2024-07-19
ALIV-SDB.ST,2024-Q3,2024-10-18
ALIV-SDB.ST,2024-Q4,2025-01-31
