ticker,report_period,report_date,eps_ttm,currency
AAK,2019-Q2,,5.4952,SEK
AAK,2019-Q3,,5.6252,SEK
AAK,2019-Q4,,5.7618,SEK
AAK,2020-Q1,,5.88,SEK
AAK,2020-Q2,,5.73,SEK
AAK,2020-Q3,,5.88,SEK
AAK,2020-Q4,,6.03,SEK
AAK,2021-Q1,,6.1,SEK
AAK,2021-Q2,,5.2498,SEK
AAK,2021-Q3,,5.3898,SEK
AAK,2021-Q4,,5.5612,SEK
AAK,2022-Q1,,5.9112,SEK
AAK,2022-Q2,,6.1209,SEK
AAK,2022-Q3,,6.681,SEK
AAK,2022-Q4,,6.8238,SEK
AAK,2023-Q1,,7.4804,SEK
AAK,2023-Q2,,9.2464,SEK
AAK,2023-Q3,2023-10-25,9.9977,SEK
AAK,2023-Q4,2024-02-07,11.3436,SEK
AAK,2024-Q1,2024-04-25,12.387,SEK
AAK,2024-Q2,2024-07-18,13.1214,SEK
AAK,2024-Q3,2024-10-24,13.35,SEK
AAK,2024-Q4,2025-02-05,13.57,SEK
AAK,2025-Q1,2025-04-24,13.56,SEK
AAK,2025-Q2,2025-07-17,12.92,SEK
AAK,2025-Q3,2025-10-23,13.08,SEK
AAK,2025-Q4,2026-02-05,13.16,SEK
AAK,2026-Q1,2026-04-28,13.2706,SEK
AAK,2026-Q2,2026-07-17,13.8706,SEK
ABB,2024-Q1,,1.98,USD
ABB,2024-Q2,,2.07,USD
ABB,2024-Q3,,2.1,USD
ABB,2024-Q4,,2.13,USD
ABB,2025-Q1,,2.25,USD
ABB,2025-Q2,,2.29,USD
ABB,2025-Q3,,2.44,USD
ABB,2025-Q4,,2.5,USD
ABB,2026-Q1,,2.72,USD
ABB,2026-Q2,,2.75,USD
ADDT B,2018-Q3,,2.1278,SEK
ADDT B,2018-Q4,,2.2826,SEK
ADDT B,2019-Q1,,2.4476,SEK
ADDT B,2019-Q2,,2.6892,SEK
ADDT B,2019-Q3,,2.9267,SEK
ADDT B,2019-Q4,,2.8719,SEK
ADDT B,2020-Q1,,3.1969,SEK
ADDT B,2020-Q2,,3.025,SEK
ADDT B,2020-Q3,,2.8042,SEK
ADDT B,2020-Q4,,2.9159,SEK
ADDT B,2021-Q1,,2.6206,SEK
ADDT B,2021-Q2,,2.8605,SEK
ADDT B,2021-Q3,,3.1456,SEK
ADDT B,2021-Q4,,3.5049,SEK
ADDT B,2022-Q1,,3.9752,SEK
ADDT B,2022-Q2,,4.2933,SEK
ADDT B,2022-Q3,,4.6523,SEK
ADDT B,2022-Q4,,5.0565,SEK
ADDT B,2023-Q1,,5.5462,SEK
ADDT B,2023-Q2,,5.7279,SEK
ADDT B,2023-Q3,2023-10-26,6.0396,SEK
ADDT B,2023-Q4,2024-02-07,6.0871,SEK
ADDT B,2024-Q1,2024-05-16,6.0526,SEK
ADDT B,2024-Q2,2024-07-12,6.4294,SEK
ADDT B,2024-Q3,2024-10-24,6.4391,SEK
ADDT B,2024-Q4,2025-02-04,6.6531,SEK
ADDT B,2025-Q1,2025-05-15,7.0118,SEK
ADDT B,2025-Q2,2025-07-15,7.2486,SEK
ADDT B,2025-Q3,2025-10-23,7.4223,SEK
ADDT B,2025-Q4,2026-02-05,7.6848,SEK
ADDT B,2026-Q1,2026-05-20,7.9546,SEK
ADDT B,2026-Q2,2026-07-14,8.2352,SEK
ADDT B,2026-Q3,,7.65,SEK
ADDT B,2026-Q4,,7.95,SEK
ADDT B,2027-Q1,,8.23,SEK
ALIG,2018-Q3,,4.0016,SEK
ALIG,2018-Q4,,4.7395,SEK
ALIG,2019-Q1,,5.3756,SEK
ALIG,2019-Q2,,5.7799,SEK
ALIG,2019-Q3,,6.2184,SEK
ALIG,2019-Q4,,5.4509,SEK
ALIG,2020-Q1,,4.6644,SEK
ALIG,2020-Q2,,3.8714,SEK
ALIG,2020-Q3,,3.0592,SEK
ALIG,2020-Q4,,2.5325,SEK
ALIG,2021-Q1,,2.8249,SEK
ALIG,2021-Q2,,3.2089,SEK
ALIG,2021-Q3,,3.6746,SEK
ALIG,2021-Q4,,4.2657,SEK
ALIG,2022-Q1,,4.3722,SEK
ALIG,2022-Q2,,4.6492,SEK
ALIG,2022-Q3,,4.6869,SEK
ALIG,2022-Q4,,5.2196,SEK
ALIG,2023-Q1,,5.4016,SEK
ALIG,2023-Q2,,5.2562,SEK
ALIG,2023-Q3,2023-10-24,5.5057,SEK
ALIG,2023-Q4,2024-02-12,4.8348,SEK
ALIG,2024-Q1,2024-04-25,4.9179,SEK
ALIG,2024-Q2,2024-07-18,5.041,SEK
ALIG,2024-Q3,2024-10-29,5.1812,SEK
ALIG,2024-Q4,2025-02-13,5.871,SEK
ALIG,2025-Q1,2025-04-24,6.3631,SEK
ALIG,2025-Q2,2025-07-18,6.7523,SEK
ALIG,2025-Q3,2025-10-23,6.5422,SEK
ALIG,2025-Q4,2026-02-10,5.6761,SEK
ALIG,2026-Q1,2026-04-28,5.3351,SEK
ALIG,2026-Q2,2026-07-17,5.1778,SEK
ALIV SDB,2024-Q1,,6.5341,USD
ALIV SDB,2024-Q2,,7.5626,USD
ALIV SDB,2024-Q3,,7.611,USD
ALIV SDB,2024-Q4,,8.04,USD
ALIV SDB,2025-Q1,,8.69,USD
ALIV SDB,2025-Q2,,9.14,USD
ALIV SDB,2025-Q3,,9.84,USD
ALIV SDB,2025-Q4,,9.75,USD
ALIV SDB,2026-Q1,,9.3,USD
ALIV SDB,2026-Q2,,8.49,USD
ALLEI,2022-Q3,,5.9272,SEK
ALLEI,2022-Q4,,5.8634,SEK
ALLEI,2023-Q1,,6.9476,SEK
ALLEI,2023-Q2,,5.1499,SEK
ALLEI,2023-Q3,2023-10-24,6.3099,SEK
ALLEI,2023-Q4,,6.27,SEK
ALLEI,2024-Q1,2024-04-23,3.2247,SEK
ALLEI,2024-Q2,2024-07-19,4.8909,SEK
ALLEI,2024-Q3,2024-10-22,5.2896,SEK
ALLEI,2024-Q4,2025-01-24,4.8631,SEK
ALLEI,2025-Q1,2025-04-23,6.2304,SEK
ALLEI,2025-Q2,2025-07-18,4.5084,SEK
ALLEI,2025-Q3,2025-10-22,3.9025,SEK
ALLEI,2025-Q4,2026-01-27,2.6786,SEK
ALLEI,2026-Q1,2026-04-27,2.2648,SEK
ALLEI,2026-Q2,2026-07-17,3.6416,SEK
ANOD B,2018-Q3,,1.1169,SEK
ANOD B,2018-Q4,,1.1755,SEK
ANOD B,2019-Q1,,1.3867,SEK
ANOD B,2019-Q2,,2.1465,SEK
ANOD B,2019-Q3,,2.8644,SEK
ANOD B,2019-Q4,,2.7373,SEK
ANOD B,2020-Q1,,2.7149,SEK
ANOD B,2020-Q2,,1.8323,SEK
ANOD B,2020-Q3,,1.1817,SEK
ANOD B,2020-Q4,,1.2191,SEK
ANOD B,2021-Q1,,1.1966,SEK
ANOD B,2021-Q2,,1.3893,SEK
ANOD B,2021-Q3,,1.4768,SEK
ANOD B,2021-Q4,,1.6637,SEK
ANOD B,2022-Q1,,2.0525,SEK
ANOD B,2022-Q2,,2.2785,SEK
ANOD B,2022-Q3,,2.6852,SEK
ANOD B,2022-Q4,,2.8585,SEK
ANOD B,2023-Q1,,2.844,SEK
ANOD B,2023-Q2,,2.5753,SEK
ANOD B,2023-Q3,2023-10-27,2.0667,SEK
ANOD B,2023-Q4,2024-02-02,2.0903,SEK
ANOD B,2024-Q1,2024-04-25,2.2119,SEK
ANOD B,2024-Q2,2024-07-12,2.3616,SEK
ANOD B,2024-Q3,2024-10-24,2.8255,SEK
ANOD B,2024-Q4,,3.0125,SEK
ANOD B,2025-Q1,2025-04-25,2.7869,SEK
ANOD B,2025-Q2,2025-07-14,3.1614,SEK
ANOD B,2025-Q3,2025-10-24,2.8332,SEK
ANOD B,2025-Q4,2026-02-03,2.8608,SEK
ANOD B,2026-Q1,2026-04-28,3.0203,SEK
ANOD B,2026-Q2,2026-07-15,2.3889,SEK
ARJO B,2018-Q3,,0.4703,SEK
ARJO B,2018-Q4,,1.0761,SEK
ARJO B,2019-Q1,,1.2633,SEK
ARJO B,2019-Q2,,1.2968,SEK
ARJO B,2019-Q3,,1.252,SEK
ARJO B,2019-Q4,,1.4796,SEK
ARJO B,2020-Q1,,1.498,SEK
ARJO B,2020-Q2,,1.553,SEK
ARJO B,2020-Q3,,1.8725,SEK
ARJO B,2020-Q4,,1.9312,SEK
