ticker,report_period,report_date,eps_ttm,currency
AAK.ST,2024-Q1,2024-04-25,12.39,SEK
AAK.ST,2024-Q2,2024-07-18,13.14,SEK
AAK.ST,2024-Q3,2024-10-24,13.39,SEK
AAK.ST,2024-Q4,2025-02-05,13.62,SEK
AAK.ST,2025-Q1,2025-04-24,13.62,SEK
AAK.ST,2025-Q2,2025-07-17,12.98,SEK
AAK.ST,2025-Q3,2025-10-23,13.13,SEK
AAK.ST,2025-Q4,2026-02-05,13.17,SEK
AAK.ST,2026-Q1,2026-04-28,13.27,SEK
AAK.ST,2026-Q2,2026-07-17,13.82,SEK
ABB.ST,2024-Q1,2024-04-18,1.98,USD
ABB.ST,2024-Q2,2024-07-18,2.07,USD
ABB.ST,2024-Q3,2024-10-17,2.1,USD
ABB.ST,2024-Q4,2025-01-30,2.13,USD
ABB.ST,2025-Q1,2025-04-17,2.25,USD
ABB.ST,2025-Q2,2025-07-17,2.29,USD
ABB.ST,2025-Q3,2025-10-16,2.44,USD
ABB.ST,2025-Q4,2026-01-29,2.5,USD
ABB.ST,2026-Q1,2026-04-22,2.72,USD
ABB.ST,2026-Q2,2026-07-16,2.75,USD
ADDT-B.ST,2024-Q4,2024-05-16,6.0494,SEK
ADDT-B.ST,2025-Q1,2024-07-12,6.4268,SEK
ADDT-B.ST,2025-Q2,2024-10-24,6.438,SEK
ADDT-B.ST,2025-Q3,2025-02-04,6.6529,SEK
ADDT-B.ST,2025-Q4,2025-05-15,7.0,SEK
ADDT-B.ST,2026-Q1,2025-07-15,7.2,SEK
ADDT-B.ST,2026-Q2,2025-10-23,7.42,SEK
ADDT-B.ST,2026-Q3,2026-02-05,7.65,SEK
ADDT-B.ST,2026-Q4,2026-05-20,7.95,SEK
ADDT-B.ST,2027-Q1,2026-07-14,8.23,SEK
ALIG.ST,2024-Q1,2024-04-25,4.9324,SEK
ALIG.ST,2024-Q2,2024-07-18,5.0647,SEK
ALIG.ST,2024-Q3,2024-10-29,5.197,SEK
ALIG.ST,2024-Q4,2025-02-13,5.89,SEK
ALIG.ST,2025-Q1,2025-04-24,6.39,SEK
ALIG.ST,2025-Q2,2025-07-18,6.78,SEK
ALIG.ST,2025-Q3,2025-10-23,6.57,SEK
ALIG.ST,2025-Q4,2026-02-10,5.71,SEK
ALIG.ST,2026-Q1,2026-04-28,5.36,SEK
ALIG.ST,2026-Q2,2026-07-17,5.2,SEK
ALIV-SDB.ST,2024-Q1,2024-04-26,6.5341,USD
ALIV-SDB.ST,2024-Q2,2024-07-19,7.5626,USD
ALIV-SDB.ST,2024-Q3,2024-10-18,7.611,USD
ALIV-SDB.ST,2024-Q4,2025-01-31,8.04,USD
ALIV-SDB.ST,2025-Q1,2025-04-16,8.69,USD
ALIV-SDB.ST,2025-Q2,2025-07-18,9.14,USD
ALIV-SDB.ST,2025-Q3,2025-10-17,9.84,USD
ALIV-SDB.ST,2025-Q4,2026-01-30,9.75,USD
ALIV-SDB.ST,2026-Q1,2026-04-17,9.3,USD
ALIV-SDB.ST,2026-Q2,2026-07-17,8.49,USD
ALLEI.ST,2024-Q1,2024-04-23,3.24,SEK
ALLEI.ST,2024-Q2,2024-07-19,4.91,SEK
ALLEI.ST,2024-Q3,2024-10-22,5.31,SEK
ALLEI.ST,2024-Q4,2025-01-24,4.88,SEK
ALLEI.ST,2025-Q1,2025-04-23,6.25,SEK
ALLEI.ST,2025-Q2,2025-07-18,4.52,SEK
ALLEI.ST,2025-Q3,2025-10-22,3.91,SEK
ALLEI.ST,2025-Q4,2026-01-27,2.68,SEK
ALLEI.ST,2026-Q1,2026-04-27,2.27,SEK
ALLEI.ST,2026-Q2,2026-07-17,3.65,SEK
ANOD-B.ST,2024-Q1,2024-04-25,2.21,SEK
ANOD-B.ST,2024-Q2,2024-07-12,2.37,SEK
ANOD-B.ST,2024-Q3,2024-10-24,2.84,SEK
ANOD-B.ST,2024-Q4,2025-01-31,3.01,SEK
