ticker,report_period,report_date,source
ATRLJ-B.ST,2024-Q1,2024-04-12,Atrium Ljungberg financial reports archive
ATRLJ-B.ST,2024-Q2,2024-07-09,Atrium Ljungberg financial reports archive
ATRLJ-B.ST,2024-Q3,2024-10-11,Atrium Ljungberg financial reports archive
ATRLJ-B.ST,2024-Q4,2025-01-31,Atrium Ljungberg financial reports archive
ATRLJ-B.ST,2025-Q1,2025-04-11,Atrium Ljungberg financial reports archive
ATRLJ-B.ST,2025-Q2,2025-07-04,Atrium Ljungberg financial reports archive
ATRLJ-B.ST,2025-Q3,2025-10-10,Atrium Ljungberg financial reports archive
ATRLJ-B.ST,2025-Q4,2026-01-30,Atrium Ljungberg financial reports archive
ATRLJ-B.ST,2026-Q1,2026-04-10,Atrium Ljungberg financial reports archive
ATT.ST,2023-Q4,2024-02-08,Attendo official report release
ATT.ST,2024-Q1,2024-04-24,Attendo official report release
AZN.ST,2024-Q1,2024-04-25,AstraZeneca results and presentations
BAHN-B.ST,2023-Q4,2024-02-13,Bahnhof news archive
BAHN-B.ST,2024-Q1,2024-05-07,Bahnhof news archive
BAHN-B.ST,2024-Q2,2024-08-20,Bahnhof news archive
BAHN-B.ST,2024-Q3,2024-11-12,Bahnhof news archive
BAHN-B.ST,2024-Q4,2025-02-18,Bahnhof news archive
BAHN-B.ST,2025-Q1,2025-05-06,Bahnhof news archive
BALD-B.ST,2024-Q1,2024-05-03,Balder financial reports
BALD-B.ST,2024-Q2,2024-07-16,Balder financial reports
BALD-B.ST,2024-Q3,2024-10-25,Balder financial reports
BALD-B.ST,2024-Q4,2025-02-07,Balder financial reports
BALD-B.ST,2025-Q1,2025-05-08,Balder financial reports
BALD-B.ST,2025-Q2,2025-07-15,Balder financial reports
BALD-B.ST,2025-Q3,2025-10-28,Balder financial reports
BALD-B.ST,2025-Q4,2026-02-06,Balder financial reports
BIOG-B.ST,2024-Q1,2024-05-07,BioGaia official report release
BIOG-B.ST,2024-Q2,2024-07-23,BioGaia official report release
BIOG-B.ST,2024-Q3,2024-10-22,BioGaia official report release
BIOG-B.ST,2024-Q4,2025-02-12,BioGaia financial reports
BIOG-B.ST,2025-Q1,2025-05-07,BioGaia official report release
