ticker,period_end,report_period,published_at,effective_date,eps_ttm,source,verified,verified_at,notes
AAK.ST,,2024-Q1,,2024-04-25,12.39,User-supplied historical EPS TTM; report date from Yahoo/official override,True,,historical_eps_same_day_policy_v1; effective_date=report_date; report_currency=SEK; exact publication time not tracked
AAK.ST,,2024-Q2,,2024-07-18,13.14,User-supplied historical EPS TTM; report date from Yahoo/official override,True,,historical_eps_same_day_policy_v1; effective_date=report_date; report_currency=SEK; exact publication time not tracked
AAK.ST,,2024-Q3,,2024-10-24,13.39,User-supplied historical EPS TTM; report date from Yahoo/official override,True,,historical_eps_same_day_policy_v1; effective_date=report_date; report_currency=SEK; exact publication time not tracked
AAK.ST,,2024-Q4,,2025-02-05,13.62,User-supplied historical EPS TTM; report date from Yahoo/official override,True,,historical_eps_same_day_policy_v1; effective_date=report_date; report_currency=SEK; exact publication time not tracked
AAK.ST,,2025-Q1,,2025-04-24,13.62,User-supplied historical EPS TTM; report date from Yahoo/official override,True,,historical_eps_same_day_policy_v1; effective_date=report_date; report_currency=SEK; exact publication time not tracked
AAK.ST,,2025-Q2,,2025-07-17,12.98,User-supplied historical EPS TTM; report date from Yahoo/official override,True,,historical_eps_same_day_policy_v1; effective_date=report_date; report_currency=SEK; exact publication time not tracked
AAK.ST,,2025-Q3,,2025-10-23,13.13,User-supplied historical EPS TTM; report date from Yahoo/official override,True,,historical_eps_same_day_policy_v1; effective_date=report_date; report_currency=SEK; exact publication time not tracked
AAK.ST,,2025-Q4,,2026-02-05,13.17,User-supplied historical EPS TTM; report date from Yahoo/official override,True,,historical_eps_same_day_policy_v1; effective_date=report_date; report_currency=SEK; exact publication time not tracked
AAK.ST,,2026-Q1,,2026-04-28,13.27,User-supplied historical EPS TTM; report date from Yahoo/official override,True,,historical_eps_same_day_policy_v1; effective_date=report_date; report_currency=SEK; exact publication time not tracked
AAK.ST,,2026-Q2,,2026-07-17,13.82,User-supplied historical EPS TTM; report date from Yahoo/official override,True,,historical_eps_same_day_policy_v1; effective_date=report_date; report_currency=SEK; exact publication time not tracked
ABB.ST,,2024-Q1,,2024-04-18,1.98,User-supplied historical EPS TTM; report date from Yahoo/official override,True,,historical_eps_same_day_policy_v1; effective_date=report_date; report_currency=USD; exact publication time not tracked
ABB.ST,,2024-Q2,,2024-07-18,2.07,User-supplied historical EPS TTM; report date from Yahoo/official override,True,,historical_eps_same_day_policy_v1; effective_date=report_date; report_currency=USD; exact publication time not tracked
ABB.ST,,2024-Q3,,2024-10-17,2.1,User-supplied historical EPS TTM; report date from Yahoo/official override,True,,historical_eps_same_day_policy_v1; effective_date=report_date; report_currency=USD; exact publication time not tracked
ABB.ST,,2024-Q4,,2025-01-30,2.13,User-supplied historical EPS TTM; report date from Yahoo/official override,True,,historical_eps_same_day_policy_v1; effective_date=report_date; report_currency=USD; exact publication time not tracked
ABB.ST,,2025-Q1,,2025-04-17,2.25,User-supplied historical EPS TTM; report date from Yahoo/official override,True,,historical_eps_same_day_policy_v1; effective_date=report_date; report_currency=USD; exact publication time not tracked
ABB.ST,,2025-Q2,,2025-07-17,2.29,User-supplied historical EPS TTM; report date from Yahoo/official override,True,,historical_eps_same_day_policy_v1; effective_date=report_date; report_currency=USD; exact publication time not tracked
ABB.ST,,2025-Q3,,2025-10-16,2.44,User-supplied historical EPS TTM; report date from Yahoo/official override,True,,historical_eps_same_day_policy_v1; effective_date=report_date; report_currency=USD; exact publication time not tracked
ABB.ST,,2025-Q4,,2026-01-29,2.5,User-supplied historical EPS TTM; report date from Yahoo/official override,True,,historical_eps_same_day_policy_v1; effective_date=report_date; report_currency=USD; exact publication time not tracked
