date,base_currency,quote_currency,rate,yahoo_ticker
2016-01-01,EUR,SEK,9.156669616699219,EURSEK=X
2016-01-04,EUR,SEK,9.156800270080566,EURSEK=X
2016-01-05,EUR,SEK,9.200579643249512,EURSEK=X
2016-01-06,EUR,SEK,9.231679916381836,EURSEK=X
2016-01-07,EUR,SEK,9.253569602966309,EURSEK=X
2016-01-08,EUR,SEK,9.24446964263916,EURSEK=X
2016-01-11,EUR,SEK,9.287969589233398,EURSEK=X
2016-01-12,EUR,SEK,9.269390106201172,EURSEK=X
2016-01-13,EUR,SEK,9.25100040435791,EURSEK=X
2016-01-14,EUR,SEK,9.27560043334961,EURSEK=X
2016-01-15,EUR,SEK,9.286199569702148,EURSEK=X
2016-01-18,EUR,SEK,9.362199783325195,EURSEK=X
2016-01-19,EUR,SEK,9.35354995727539,EURSEK=X
2016-01-20,EUR,SEK,9.312000274658203,EURSEK=X
2016-01-21,EUR,SEK,9.348739624023438,EURSEK=X
2016-01-22,EUR,SEK,9.296640396118164,EURSEK=X
2016-01-25,EUR,SEK,9.262149810791016,EURSEK=X
2016-01-26,EUR,SEK,9.287579536437988,EURSEK=X
2016-01-27,EUR,SEK,9.28026008605957,EURSEK=X
2016-01-28,EUR,SEK,9.269800186157227,EURSEK=X
2016-01-29,EUR,SEK,9.29755973815918,EURSEK=X
2016-02-01,EUR,SEK,9.295060157775879,EURSEK=X
2016-02-02,EUR,SEK,9.286439895629883,EURSEK=X
2016-02-03,EUR,SEK,9.336199760437012,EURSEK=X
2016-02-04,EUR,SEK,9.360610008239746,EURSEK=X
2016-02-05,EUR,SEK,9.405540466308594,EURSEK=X
2016-02-08,EUR,SEK,9.428970336914062,EURSEK=X
2016-02-09,EUR,SEK,9.451769828796387,EURSEK=X
2016-02-10,EUR,SEK,9.496500015258789,EURSEK=X
2016-02-11,EUR,SEK,9.440699577331543,EURSEK=X
2016-02-12,EUR,SEK,9.476699829101562,EURSEK=X
2016-02-15,EUR,SEK,9.452560424804688,EURSEK=X
2016-02-16,EUR,SEK,9.466500282287598,EURSEK=X
2016-02-17,EUR,SEK,9.475259780883789,EURSEK=X
2016-02-18,EUR,SEK,9.46912956237793,EURSEK=X
2016-02-19,EUR,SEK,9.381919860839844,EURSEK=X
2016-02-22,EUR,SEK,9.387490272521973,EURSEK=X
2016-02-23,EUR,SEK,9.36870002746582,EURSEK=X
2016-02-24,EUR,SEK,9.344900131225586,EURSEK=X
2016-02-25,EUR,SEK,9.349300384521484,EURSEK=X
2016-02-26,EUR,SEK,9.365799903869629,EURSEK=X
2016-02-29,EUR,SEK,9.348600387573242,EURSEK=X
2016-03-01,EUR,SEK,9.31309986114502,EURSEK=X
2016-03-02,EUR,SEK,9.364359855651855,EURSEK=X
2016-03-03,EUR,SEK,9.357170104980469,EURSEK=X
2016-03-04,EUR,SEK,9.337869644165039,EURSEK=X
2016-03-07,EUR,SEK,9.324199676513672,EURSEK=X
2016-03-08,EUR,SEK,9.33080005645752,EURSEK=X
2016-03-09,EUR,SEK,9.340959548950195,EURSEK=X
2016-03-10,EUR,SEK,9.282400131225586,EURSEK=X
2016-03-11,EUR,SEK,9.356169700622559,EURSEK=X
2016-03-14,EUR,SEK,9.30679988861084,EURSEK=X
2016-03-15,EUR,SEK,9.26360034942627,EURSEK=X
2016-03-16,EUR,SEK,9.242280006408691,EURSEK=X
2016-03-17,EUR,SEK,9.234109878540039,EURSEK=X
2016-03-18,EUR,SEK,9.255410194396973,EURSEK=X
2016-03-21,EUR,SEK,9.2746000289917,EURSEK=X
2016-03-22,EUR,SEK,9.247900009155273,EURSEK=X
2016-03-23,EUR,SEK,9.228400230407715,EURSEK=X
2016-03-24,EUR,SEK,9.240269660949707,EURSEK=X
2016-03-25,EUR,SEK,9.264809608459473,EURSEK=X
2016-03-28,EUR,SEK,9.271780014038086,EURSEK=X
2016-03-29,EUR,SEK,9.269960403442383,EURSEK=X
2016-03-30,EUR,SEK,9.25039005279541,EURSEK=X
2016-03-31,EUR,SEK,9.2158203125,EURSEK=X
2016-04-01,EUR,SEK,9.236900329589844,EURSEK=X
2016-04-04,EUR,SEK,9.258370399475098,EURSEK=X
2016-04-05,EUR,SEK,9.250889778137207,EURSEK=X
2016-04-06,EUR,SEK,9.25139045715332,EURSEK=X
2016-04-07,EUR,SEK,9.290570259094238,EURSEK=X
2016-04-08,EUR,SEK,9.28219985961914,EURSEK=X
2016-04-11,EUR,SEK,9.29259967803955,EURSEK=X
2016-04-12,EUR,SEK,9.252900123596191,EURSEK=X
2016-04-13,EUR,SEK,9.198129653930664,EURSEK=X
2016-04-14,EUR,SEK,9.183799743652344,EURSEK=X
2016-04-15,EUR,SEK,9.16448974609375,EURSEK=X
2016-04-18,EUR,SEK,9.191200256347656,EURSEK=X
2016-04-19,EUR,SEK,9.174790382385254,EURSEK=X
2016-04-20,EUR,SEK,9.179770469665527,EURSEK=X
2016-04-21,EUR,SEK,9.180700302124023,EURSEK=X
2016-04-22,EUR,SEK,9.190690040588379,EURSEK=X
2016-04-25,EUR,SEK,9.155900001525879,EURSEK=X
2016-04-26,EUR,SEK,9.169699668884277,EURSEK=X
2016-04-27,EUR,SEK,9.172800064086914,EURSEK=X
2016-04-28,EUR,SEK,9.152170181274414,EURSEK=X
2016-04-29,EUR,SEK,9.159899711608887,EURSEK=X
2016-05-02,EUR,SEK,9.192859649658203,EURSEK=X
2016-05-03,EUR,SEK,9.179200172424316,EURSEK=X
2016-05-04,EUR,SEK,9.257599830627441,EURSEK=X
2016-05-05,EUR,SEK,9.263819694519043,EURSEK=X
2016-05-06,EUR,SEK,9.24213981628418,EURSEK=X
2016-05-09,EUR,SEK,9.279569625854492,EURSEK=X
2016-05-10,EUR,SEK,9.288260459899902,EURSEK=X
2016-05-11,EUR,SEK,9.273420333862305,EURSEK=X
2016-05-12,EUR,SEK,9.292200088500977,EURSEK=X
2016-05-13,EUR,SEK,9.306130409240723,EURSEK=X
2016-05-16,EUR,SEK,9.32116985321045,EURSEK=X
2016-05-17,EUR,SEK,9.351770401000977,EURSEK=X
2016-05-18,EUR,SEK,9.339570045471191,EURSEK=X
2016-05-19,EUR,SEK,9.363869667053223,EURSEK=X
2016-05-20,EUR,SEK,9.35338020324707,EURSEK=X
2016-05-23,EUR,SEK,9.33218002319336,EURSEK=X
2016-05-24,EUR,SEK,9.35813045501709,EURSEK=X
2016-05-25,EUR,SEK,9.259249687194824,EURSEK=X
2016-05-26,EUR,SEK,9.256340026855469,EURSEK=X
2016-05-27,EUR,SEK,9.265899658203125,EURSEK=X
2016-05-30,EUR,SEK,9.276100158691406,EURSEK=X
2016-05-31,EUR,SEK,9.277379989624023,EURSEK=X
2016-06-01,EUR,SEK,9.270879745483398,EURSEK=X
2016-06-02,EUR,SEK,9.280130386352539,EURSEK=X
2016-06-03,EUR,SEK,9.282219886779785,EURSEK=X
2016-06-06,EUR,SEK,9.25220012664795,EURSEK=X
2016-06-07,EUR,SEK,9.228799819946289,EURSEK=X
2016-06-08,EUR,SEK,9.228429794311523,EURSEK=X
2016-06-09,EUR,SEK,9.237380027770996,EURSEK=X
2016-06-10,EUR,SEK,9.254150390625,EURSEK=X
2016-06-13,EUR,SEK,9.34041976928711,EURSEK=X
2016-06-14,EUR,SEK,9.307129859924316,EURSEK=X
2016-06-15,EUR,SEK,9.316579818725586,EURSEK=X
2016-06-16,EUR,SEK,9.349379539489746,EURSEK=X
2016-06-17,EUR,SEK,9.365349769592285,EURSEK=X
2016-06-20,EUR,SEK,9.36709976196289,EURSEK=X
2016-06-21,EUR,SEK,9.324190139770508,EURSEK=X
2016-06-22,EUR,SEK,9.3018798828125,EURSEK=X
2016-06-23,EUR,SEK,9.304389953613281,EURSEK=X
2016-06-24,EUR,SEK,9.28477954864502,EURSEK=X
2016-06-27,EUR,SEK,9.417059898376465,EURSEK=X
2016-06-28,EUR,SEK,9.422550201416016,EURSEK=X
2016-06-29,EUR,SEK,9.404379844665527,EURSEK=X
2016-06-30,EUR,SEK,9.40038013458252,EURSEK=X
2016-07-01,EUR,SEK,9.388079643249512,EURSEK=X
2016-07-04,EUR,SEK,9.39490032196045,EURSEK=X
2016-07-05,EUR,SEK,9.386679649353027,EURSEK=X
2016-07-06,EUR,SEK,9.43850040435791,EURSEK=X
2016-07-07,EUR,SEK,9.457839965820312,EURSEK=X
2016-07-08,EUR,SEK,9.480629920959473,EURSEK=X
2016-07-11,EUR,SEK,9.485520362854004,EURSEK=X
2016-07-12,EUR,SEK,9.47307014465332,EURSEK=X
2016-07-13,EUR,SEK,9.443300247192383,EURSEK=X
2016-07-14,EUR,SEK,9.420069694519043,EURSEK=X
2016-07-15,EUR,SEK,9.448380470275879,EURSEK=X
2016-07-18,EUR,SEK,9.47266960144043,EURSEK=X
2016-07-19,EUR,SEK,9.461259841918945,EURSEK=X
2016-07-20,EUR,SEK,9.483070373535156,EURSEK=X
2016-07-21,EUR,SEK,9.459259986877441,EURSEK=X
2016-07-22,EUR,SEK,9.464509963989258,EURSEK=X
2016-07-25,EUR,SEK,9.49662971496582,EURSEK=X
2016-07-26,EUR,SEK,9.492130279541016,EURSEK=X
2016-07-27,EUR,SEK,9.50613021850586,EURSEK=X
2016-07-28,EUR,SEK,9.539950370788574,EURSEK=X
2016-07-29,EUR,SEK,9.56447982788086,EURSEK=X
2016-08-01,EUR,SEK,9.559579849243164,EURSEK=X
2016-08-02,EUR,SEK,9.592280387878418,EURSEK=X
2016-08-03,EUR,SEK,9.541999816894531,EURSEK=X
2016-08-04,EUR,SEK,9.526570320129395,EURSEK=X
2016-08-05,EUR,SEK,9.474069595336914,EURSEK=X
2016-08-08,EUR,SEK,9.496139526367188,EURSEK=X
2016-08-09,EUR,SEK,9.51156997680664,EURSEK=X
2016-08-10,EUR,SEK,9.486390113830566,EURSEK=X
2016-08-11,EUR,SEK,9.453669548034668,EURSEK=X
2016-08-12,EUR,SEK,9.436699867248535,EURSEK=X
2016-08-15,EUR,SEK,9.433500289916992,EURSEK=X
2016-08-16,EUR,SEK,9.456219673156738,EURSEK=X
2016-08-17,EUR,SEK,9.486499786376953,EURSEK=X
2016-08-18,EUR,SEK,9.499380111694336,EURSEK=X
2016-08-19,EUR,SEK,9.472359657287598,EURSEK=X
2016-08-22,EUR,SEK,9.492730140686035,EURSEK=X
2016-08-23,EUR,SEK,9.480500221252441,EURSEK=X
2016-08-24,EUR,SEK,9.467630386352539,EURSEK=X
2016-08-25,EUR,SEK,9.45680046081543,EURSEK=X
2016-08-26,EUR,SEK,9.484109878540039,EURSEK=X
2016-08-29,EUR,SEK,9.50117015838623,EURSEK=X
2016-08-30,EUR,SEK,9.464360237121582,EURSEK=X
2016-08-31,EUR,SEK,9.510100364685059,EURSEK=X
2016-09-01,EUR,SEK,9.548959732055664,EURSEK=X
2016-09-02,EUR,SEK,9.574379920959473,EURSEK=X
2016-09-05,EUR,SEK,9.569299697875977,EURSEK=X
2016-09-06,EUR,SEK,9.546799659729004,EURSEK=X
2016-09-07,EUR,SEK,9.534219741821289,EURSEK=X
2016-09-08,EUR,SEK,9.484519958496094,EURSEK=X
2016-09-09,EUR,SEK,9.506489753723145,EURSEK=X
2016-09-12,EUR,SEK,9.534859657287598,EURSEK=X
2016-09-13,EUR,SEK,9.530960083007812,EURSEK=X
2016-09-14,EUR,SEK,9.567879676818848,EURSEK=X
2016-09-15,EUR,SEK,9.549819946289062,EURSEK=X
2016-09-16,EUR,SEK,9.53026008605957,EURSEK=X
2016-09-19,EUR,SEK,9.55675983428955,EURSEK=X
2016-09-20,EUR,SEK,9.569499969482422,EURSEK=X
2016-09-21,EUR,SEK,9.581999778747559,EURSEK=X
2016-09-22,EUR,SEK,9.569700241088867,EURSEK=X
2016-09-23,EUR,SEK,9.576419830322266,EURSEK=X
2016-09-26,EUR,SEK,9.585929870605469,EURSEK=X
2016-09-27,EUR,SEK,9.609780311584473,EURSEK=X
2016-09-28,EUR,SEK,9.643099784851074,EURSEK=X
2016-09-29,EUR,SEK,9.604880332946777,EURSEK=X
2016-09-30,EUR,SEK,9.617799758911133,EURSEK=X
2016-10-03,EUR,SEK,9.639169692993164,EURSEK=X
2016-10-04,EUR,SEK,9.608220100402832,EURSEK=X
2016-10-05,EUR,SEK,9.636280059814453,EURSEK=X
2016-10-06,EUR,SEK,9.623129844665527,EURSEK=X
2016-10-07,EUR,SEK,9.608759880065918,EURSEK=X
2016-10-10,EUR,SEK,9.660309791564941,EURSEK=X
2016-10-11,EUR,SEK,9.637299537658691,EURSEK=X
2016-10-12,EUR,SEK,9.74783992767334,EURSEK=X
2016-10-13,EUR,SEK,9.749629974365234,EURSEK=X
2016-10-14,EUR,SEK,9.713629722595215,EURSEK=X
2016-10-17,EUR,SEK,9.696109771728516,EURSEK=X
2016-10-18,EUR,SEK,9.688799858093262,EURSEK=X
2016-10-19,EUR,SEK,9.695150375366211,EURSEK=X
2016-10-20,EUR,SEK,9.695810317993164,EURSEK=X
2016-10-21,EUR,SEK,9.688799858093262,EURSEK=X
2016-10-24,EUR,SEK,9.698670387268066,EURSEK=X
2016-10-25,EUR,SEK,9.692060470581055,EURSEK=X
2016-10-26,EUR,SEK,9.717570304870605,EURSEK=X
2016-10-27,EUR,SEK,9.716059684753418,EURSEK=X
2016-10-28,EUR,SEK,9.892370223999023,EURSEK=X
2016-10-31,EUR,SEK,9.892999649047852,EURSEK=X
2016-11-01,EUR,SEK,9.913060188293457,EURSEK=X
2016-11-02,EUR,SEK,9.9093599319458,EURSEK=X
2016-11-03,EUR,SEK,9.89900016784668,EURSEK=X
2016-11-04,EUR,SEK,9.953800201416016,EURSEK=X
2016-11-07,EUR,SEK,9.944299697875977,EURSEK=X
2016-11-08,EUR,SEK,9.95740032196045,EURSEK=X
2016-11-09,EUR,SEK,9.888500213623047,EURSEK=X
2016-11-10,EUR,SEK,9.88479995727539,EURSEK=X
2016-11-11,EUR,SEK,9.842499732971191,EURSEK=X
2016-11-14,EUR,SEK,9.85597038269043,EURSEK=X
2016-11-15,EUR,SEK,9.829500198364258,EURSEK=X
2016-11-16,EUR,SEK,9.848719596862793,EURSEK=X
2016-11-17,EUR,SEK,9.82588005065918,EURSEK=X
2016-11-18,EUR,SEK,9.811989784240723,EURSEK=X
2016-11-21,EUR,SEK,9.800999641418457,EURSEK=X
2016-11-22,EUR,SEK,9.79580020904541,EURSEK=X
2016-11-23,EUR,SEK,9.791569709777832,EURSEK=X
2016-11-24,EUR,SEK,9.787529945373535,EURSEK=X
2016-11-25,EUR,SEK,9.760479927062988,EURSEK=X
2016-11-28,EUR,SEK,9.791529655456543,EURSEK=X
2016-11-29,EUR,SEK,9.763999938964844,EURSEK=X
2016-11-30,EUR,SEK,9.769100189208984,EURSEK=X
2016-12-01,EUR,SEK,9.771499633789062,EURSEK=X
2016-12-02,EUR,SEK,9.824370384216309,EURSEK=X
2016-12-05,EUR,SEK,9.77573013305664,EURSEK=X
2016-12-06,EUR,SEK,9.81309986114502,EURSEK=X
2016-12-07,EUR,SEK,9.785499572753906,EURSEK=X
2016-12-08,EUR,SEK,9.755979537963867,EURSEK=X
