ticker,company,isin,price_currency,report_currency
AAK,AAK,SE0011337708,SEK,SEK
ABB,ABB,CH0012221716,SEK,USD
ADDT B,Addtech,SE0014781795,SEK,SEK
ALIG,Alimak,SE0007158910,SEK,SEK
ALIV SDB,Autoliv,SE0021309614,SEK,USD
ALLEI,Alleima,SE0017615644,SEK,SEK
ANOD B,Addnode,SE0017885767,SEK,SEK
ARJO B,Arjo,SE0010468116,SEK,SEK
ASSA B,Assa Abloy,SE0007100581,SEK,SEK
ATCO A,Atlas Copco A,SE0017486889,SEK,SEK
ATCO B,Atlas Copco B,SE0017486897,SEK,SEK
ATRLJ B,Atrium Ljungberg,SE0024320832,SEK,SEK
ATT,Attendo,SE0007666110,SEK,SEK
AXFO,Axfood,SE0006993770,SEK,SEK
AZA,Avanza Bank,SE0012454072,SEK,SEK
AZN,AstraZeneca,GB0009895292,SEK,USD
BAHN B,Bahnhof,SE0010442418,SEK,SEK
BALD B,Fast Balder,SE0017832488,SEK,SEK
BEIA B,Beijer Alma,SE0011090547,SEK,SEK
BERG B,Bergman & Beving,SE0000101362,SEK,SEK
BETS B,Betsson,SE0022726485,SEK,EUR
BILI A,Bilia,SE0009921588,SEK,SEK
BIOG B,BioGaia,SE0017769995,SEK,SEK
BOL,Boliden,SE0020050417,SEK,SEK
BORG,Björn Borg,SE0021921327,SEK,SEK
BRAV,Bravida,SE0007491303,SEK,SEK
BTS B,BTS Group,SE0000805426,SEK,SEK
CAST,Castellum,SE0000379190,SEK,SEK
CATE,Catena,SE0001664707,SEK,SEK
CIBUS,Cibus Real Estate,SE0010832204,SEK,EUR
CLA B,Cloetta,SE0002626861,SEK,SEK
CLAS B,Clas Ohlson,SE0000584948,SEK,SEK
COOR,Coor Service Management,SE0007158829,SEK,SEK
CTT,CTT Systems,SE0000418923,SEK,SEK
DIOS,Diös Fastigheter,SE0001634262,SEK,SEK
DOM,Dometic,SE0007691613,SEK,SEK
DUNI,Duni,SE0000616716,SEK,SEK
DYVOX,Dynavox Group,SE0017105620,SEK,SEK
EAST,Eastnine,SE0022050183,SEK,EUR
EKTA B,Elekta,SE0000163628,SEK,SEK
EMBRAC B,Embracer,SE0023615885,SEK,SEK
EPI A,Epiroc A,SE0015658109,SEK,SEK
EPI B,Epiroc B,SE0015658117,SEK,SEK
EQL,EQL Pharma,SE0005497732,SEK,SEK
EQT,EQT,SE0012853455,SEK,EUR
ERIC B,Ericsson B,SE0000108656,SEK,SEK
ESSITY B,Essity B,SE0009922164,SEK,SEK
EVO,Evolution,SE0012673267,SEK,EUR
FABG,Fabege,SE0011166974,SEK,SEK
