ticker,company,mfn_slug,mfn_url,status,last_checked
AAK.ST,AAK,aak,https://mfn.se/all/a/aak,resolved,2026-09-15T19:40:00+00:00
ABB.ST,ABB,abb,https://mfn.se/all/a/abb,resolved,2026-09-15T19:40:01+00:00
ADDT-B.ST,Addtech,addtech,https://mfn.se/all/a/addtech,resolved,2026-09-15T19:40:06+00:00
ALIG.ST,Alimak,alimak-group,https://mfn.se/all/a/alimak-group,resolved,2026-09-15T19:40:09+00:00
ALIV-SDB.ST,Autoliv,autoliv,https://mfn.se/all/a/autoliv,resolved,2026-09-15T19:40:11+00:00
ALLEI.ST,Alleima,alleima,https://mfn.se/all/a/alleima,resolved,2026-09-15T19:40:14+00:00
ANOD-B.ST,Addnode,addnode-group,https://mfn.se/all/a/addnode-group,resolved,2026-09-15T19:40:18+00:00
ARJO-B.ST,Arjo,arjo,https://mfn.se/all/a/arjo,resolved,2026-09-15T19:40:19+00:00
ASSA-B.ST,Assa Abloy,assa-abloy,https://mfn.se/all/a/assa-abloy,resolved,2026-09-15T19:40:22+00:00
ATCO-A.ST,Atlas Copco A,atlas-copco,https://mfn.se/all/a/atlas-copco,resolved,2026-09-15T19:40:24+00:00
ATCO-B.ST,Atlas Copco B,atlas-copco,https://mfn.se/all/a/atlas-copco,resolved,2026-09-15T19:40:28+00:00
ATRLJ-B.ST,Atrium Ljungberg,atrium-ljungberg,https://mfn.se/all/a/atrium-ljungberg,resolved,2026-09-15T19:40:33+00:00
ATT.ST,Attendo,attendo,https://mfn.se/all/a/attendo,resolved,2026-09-15T19:40:34+00:00
AXFO.ST,Axfood,axfood,https://mfn.se/all/a/axfood,resolved,2026-09-15T19:40:39+00:00
AZA.ST,Avanza Bank,avanza-bank,https://mfn.se/all/a/avanza-bank,resolved,2026-09-15T19:40:41+00:00
AZN.ST,AstraZeneca,astrazeneca,https://mfn.se/all/a/astrazeneca,resolved,2026-09-15T19:40:42+00:00
BAHN-B.ST,Bahnhof,bahnhof,https://mfn.se/all/a/bahnhof,resolved,2026-09-15T19:40:49+00:00
BALD-B.ST,Fast Balder,,,unresolved,2026-09-22T19:43:34+00:00
BEIA-B.ST,Beijer Alma,beijer-alma,https://mfn.se/all/a/beijer-alma,resolved,2026-09-15T19:40:53+00:00
BEIJ-B.ST,Beijer Ref AB (publ),beijer-ref,https://mfn.se/all/a/beijer-ref,resolved,2026-09-15T19:40:55+00:00
BERG-B.ST,Bergman & Beving,bergman-and-beving,https://mfn.se/all/a/bergman-and-beving,resolved,2026-09-15T19:40:58+00:00
BETS-B.ST,Betsson,betsson,https://mfn.se/all/a/betsson,resolved,2026-09-15T19:41:02+00:00
BILI-A.ST,Bilia,bilia,https://mfn.se/all/a/bilia,resolved,2026-09-15T19:41:03+00:00
BIOG-B.ST,BioGaia,biogaia,https://mfn.se/all/a/biogaia,resolved,2026-09-15T19:41:04+00:00
BOL.ST,Boliden,boliden,https://mfn.se/all/a/boliden,resolved,2026-09-15T19:41:07+00:00
BORG.ST,Björn Borg,bjorn-borg,https://mfn.se/all/a/bjorn-borg,resolved,2026-09-15T19:41:09+00:00
BRAV.ST,Bravida,bravida-holding,https://mfn.se/all/a/bravida-holding,resolved,2026-09-15T19:41:11+00:00
BTS-B.ST,BTS Group,bts-group,https://mfn.se/all/a/bts-group,resolved,2026-09-15T19:41:16+00:00
CAST.ST,Castellum,castellum,https://mfn.se/all/a/castellum,resolved,2026-09-15T19:41:17+00:00
CATE.ST,Catena,catena,https://mfn.se/all/a/catena,resolved,2026-09-15T19:41:19+00:00
CIBUS.ST,Cibus Real Estate,cibus-real-estate,https://mfn.se/all/a/cibus-real-estate,resolved,2026-09-15T19:41:21+00:00
CLA-B.ST,Cloetta,cloetta,https://mfn.se/all/a/cloetta,resolved,2026-09-15T19:41:25+00:00
CLAS-B.ST,Clas Ohlson,clas-ohlson,https://mfn.se/all/a/clas-ohlson,resolved,2026-09-15T19:41:27+00:00
COOR.ST,Coor Service Management,coor-service-management-holding,https://mfn.se/all/a/coor-service-management-holding,resolved,2026-09-15T19:41:31+00:00
CTT.ST,CTT Systems,ctt-systems,https://mfn.se/all/a/ctt-systems,resolved,2026-09-15T19:41:32+00:00
